AdapterInfo { name: "NVIDIA GeForce RTX 4090", vendor: 4318, device: 9860, device_type: DiscreteGpu, driver: "NVIDIA", driver_info: "525.116.03", backend: Vulkan }
samples: 1000
test,cpu_encode,mean,median,min,max,plot
spiral.svg,150.48µs,13.17µs,13.35µs,12.16µs,19.55µs,█▃▃▆▃▂▂▂▂▃▂▂▃▃▃▃▃▂▂▃▃▃▄▃▃▂▃▃▃▂▃▂▃▃▃▃▃▃▂▃▂▂▃▂▂▃▃▂▃▃▃▂▂▃▂▂▂▂▃▃▃▂▂▃▂▂▂▃▃▃▂▃▂▂▃▃▂▃▂▃▂▂▃▂▃▃▂▃▃▂▃▂▂▃▃▂▂▃▂▃▃▂▃▂▃▂▂▂▂▃▃▂▃▃▂▃▂▂▃▃▃▃▃▂▂▃▃▂▃▃▃▃▂▃▂▂▃▃▂▃▂▃▂▃▂▃▃▃▃▃▂▂▂▃▂▂▃▃▂▂▂▃▃▃▃▂▃▂▃▃▂▂▃▃▂▂▂▃▃▃▂▃▂▂▃▃▃▂▃▂▂▂▃▃▃▂▃▃▃▂▃▂▃▂▃▂▃▂▂▃▃▃▂▂▃▃▃▂▃▃▃▃▃▂▃▁▂▂▁▂▁▂▂▂▂▁▁▂▁▂▂▂▂▂▂▂▂▁▂▁▁▂▁▂▂▂▂▁▂▁▂▂▁▂▂▂▂▂▁▁▂▁▂▂▁▂▂▁▂▁▁▂▁▂▁▂▁▁▂▁▂▂▁▂▁▂▂▂▂▁▂▂▂▂▂▂▂▁▂▁▂▁▂▂▂▁▂▂▁▂▂▁▂▂▂▁▂▂▂▂▂▂▂▂▁▂▂▁▂▁▂▁▂▁▁▂▁▂▂▂▂▁▁▁▂▂▂▂▁▂▂▁▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▁▂▂▂▁▁▁▁▂▁▂▂▁▁▂▁▂▂▂▂▂▁▂▂▂▁▂▁▁▂▂▂▂▁▁▂▁▁▂▂▁▂▂▂▂▂▂▂▂▂▁▁▂▁▁▂▁▂▂▂▂▂▂▁▁▂▂▂▂▂▂▂▁▂▁▂▂▂▁▁▂▂▂▂▂▂▁▂▁▁▂▁▁▂▂▂▂▂▁▂▁▁▁▂▁▂▂▂▂▂▁▂▂▁▂▂▂▁▁▂▂▁▁▁▂▂▂▁▂▁▁▂▁▂▂▂▁▁▂▁▂▂▂▂▁▁▂▁▁▁▁▁▁▂▂▁▁▁▂▁▁▁▁▁▂▂▁▁▁▂▂▂▂▂▁▂▂▂▂▂▁▁▁▂▂▁▁▂▂▁▂▂▁▂▂▁▂▂▂▂▂▁▁▂▂▂▂▁▂▁▁▂▁▁▁▁▁▂▂▂▁▁▂▂▂▁▂▂▂▂▂▁▁▂▂▁▂▂▁▁▁▁▁▂▂▂▁▂▁▂▂▂▂▂▂▂▂▂▁▂▁▂▂▁▁▂▁▁▂▂▂▁▂▁▁▁▁▂▂▁▁▁▁▂▂▂▂▂▂▂▂▂▂▂▁▁▂▁▁▂▁▂▁▂▂▁▁▂▂▂▂▂▂▂▁▁▁▂▂▁▂▂▂▂▂▂▂▂▂▂▂▁▂▂▁▁▁▂▂▂▂▂▂▁▂▂▁▂▂▂▂▁▂▂▂▂▂▁▁▂▂▂▁▂▁▁▂▁▂▁▂▁▁▂▁▁▂▂▂▂▁▂▂▂▂▁▁▂▂▁▁▁▂▁▂▁▂▂▁▂▂▁▁▂▂▂▁▂▁▁▂▂▁▁▂▂▁▂▂▁▂▁▁▂▂▂▂▂▂▂▂▁▂▂▁▂▂▂▂▁▁▂▂▂▂▂▂▂▂▂▂▂▁▁▁▂▁▂▂▂▂▂▂▂▁▂▁▂▂▁▂▂▂▂▂▂▂▂▁▁▂▂▂▂▂▂▂▂▂▁▂▁▁▂▁▂▁▂▁▂▁▂▂▂▂▂▂▁▂▁▂▂▁▂▂▂▂▂▂▂▁▂▂▂▁▂▂▂▂▁▂▂▂▂▂▁▂▁▁▁▂▂▁▂▁▁▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▁▁▁▁▁▁▁▁▂▂▁▂▂▂▁▁▂▂▁▂▂▂▂▂▂▂▂▂▂▁▂▂▂▁▂▁▂▁▂▁▂▁▂▂▁▂▂▂▁▂▂▂▂▂▂▁▂▂▂▁
roads.svg,5.33ms,31.23µs,31.71µs,12.40µs,32.66µs,▁▁██▇██▇▇▇▇▇█▇██▇▇█▇██▇█▇██▇█▇█▇█▇▇███▇█▇█▇██▇██▇▇███▇▇▇███▇███▇█▇████▇▇█▇█▇▇▇██▇██▇▇▇████▇▇▇██▇█▇▇█▇▇██▇█▇█▇▇███▇▇▇▇██▇▇██▇▇▇███▇█▇█▇▇█▇█▇██▇███▇█▇▇██▇▇▇▇█▇▇██▇███▇█▇█▇▇████▇▇██▇███████▇████▇███▇█▇▇▇█▇▇▇█▇▇█▇▇▇██▇█▇██▇█▇▇▇█▇▇█▇▇▇▇▇██▇▇▇▇▇▇▇█▇████▇███████▇██████▇█▇▇██▇▇███▇███▇▇▇███▇████▇██▇█████▇██▇▇█▇██▇▇▇▇██▇█▇█▇█████▇▇█▇▇▇███▇██▇██████▇█████▇▇▇▇▇▇█▇██▇▇▇▇▇▇▇██▇█▇▇█▇▇▇▇███▇██████▇▇▇▇█▇██▇█▇███▇▇▇█▇██▇▇▇███████▇█▇▇▇▇▇██▇██▇▇█▇██▇███▇▇███▇██▇█▇▇▇██▇▇███▇▇▇▇▇████▇█▇▇▇███▇██▇███▇▇█▇█▇▇█▇█▇██▇▇████▇▇▇▇▇██▇▇▇████▇█▇█▇▇██▇▇▇████▇▇▇█▇█▇▇█▇█▇▇█▇████▇█▇███▇▇████▇▇█▇▇▇█▇▇▇█▇▇▇▇█▇███▇█▇▇██████▇█▇▇▇███▇█▇▇█▇███▇▇▇█████▇▇▇█▇▇▇▇██▇███▇▇███▇██▇▇▇▇▇██▇▇▇▇▇▇██▇██▇█▇██▇█▇▇▇▇███▇▇█▇▇▇█▇▇█████▇▇▇████▇▇███▇▇█▇▇█▇▇███████▇█▇▇▇█▇██▇█▇█▇▇█▇███▇███▇▇█▇█▇▇▇█▇▇██▇█▇▇██▇█▇█▇█▇█▇█▇▇▇▇▇█▇▇█▇▇██▇▇▇▇▇█▇█▇█▇█████████▇█▇██▇██▇█▇█▇▇████▇█▇▇▇▇█▇██▇█▇█████▇█▇█▇▇█▇█▇▇██▇▇▇███▇▇████▇▇▇█▇███▇▇██████████████▇▇▇██▇▇▇██▇███▇█▇▇█▇█▇█▇▇██▇███████▇██▇█▇█▇██▇▇█▇█▇█▇▇█▇▇██▇▇██▇▇▇█████▇▇█▇██▇██▇█▇█▇███████▇▇█▇█▇██▇▇▇▇█▇▇████▇█▇█▇██
blender.svg,697.45µs,20.60µs,20.50µs,19.31µs,30.76µs,██▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▁▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▁▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂
spirograph.svg,983.31µs,13.48µs,13.35µs,13.11µs,20.50µs,██▂▁▁▁▁▁▁▁▁▂▂▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▂▁▂▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▂▁▁▂▁▁▁▂▁▁▁▁▁▂▁▁▁▁▁▂▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▂▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▂▁▂▁▁▁▁▁▁▁▂▁▂▁▂▁▁▁▂▁▁▁▁▂▁▁▁▁▁▂▁▁▁▁▂▂▁▁▂▁▁▁▁▁▁▂▁▁▁▁▁▁▁▂▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▂▁▂▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▂▁▁▁▂▁▁▁▂▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▂▁▂▁▁▁▂▁▁▁▁▁▁▁▁▁▂▂▁▁▁▁▂▁▁▁▂▁▁▁▂▁▁▁▁▂▁▁▁▁▁▁▁▁▁▂▂▁▁▁▁▂▁▁▁▁▁▂▁▁▁▁▂▁▂▁▁▁▂▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▂▂▁▁▁▂▁▂▁▁▁▁▁▁▂▁▂▂▁▁▁▂▁▂▁▁▁▁▁▁▁▁▂▁▁▁▁▂▁▁▁▁▁▁▁▁▂▁▁▂▁▂▁▁▁▁▁▁▁▂▁▁▁▁▂▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▂▁▂▁▂▁▁▂▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▂▁▁▁▁▂▁▁▂▁▁▂▂▁▁▁▁▁▁▁▁▂▂▁▂▁▁▁▁▁▁▁▁▁▂▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▂▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▂▂▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▂▁▁▁▂▁▁▁▁▁▁▁▂▁▂▁▂▁▁▁▁▁▁▂▁▁▁▁▁▁▂▁▁▂▁▁▂▂▁▂▁▁▁▁▁▁▁▁▁▁▁▁▂▁▂▁▂▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▂▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▂▁▁▁▁▁▁▂▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▂▁▁▁▁▂▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▂▁▁▁▁▁▂▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▂▁▂▁▁▁▁▂▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▂▁▁▁▁▁▁▂▂▁▂▁▁▂▁▁▁▁▁▁▁▁▁▁▁▂▂▁
waves.svg,4.05ms,31.36µs,31.71µs,13.35µs,32.66µs,▁▁▇▇▇███▇▇▇███▇▇█▇█████▇▇█▇▇▇▇▇█▇█▇█▇▇██▇▇███▇▇▇██▇▇██▇▇█▇█▇█▇█████▇███▇██████▇██▇▇██████▇██▇██████▇███▇██████▇▇█▇█████▇▇██▇█▇█▇▇██▇█▇████▇█▇▇▇██▇█▇█▇████▇█▇▇███▇███▇██▇▇█████▇██▇██▇█████▇██▇▇▇██▇▇▇██▇▇█▇█▇▇█▇▇▇███▇█▇▇██▇███▇███▇████▇█▇██▇██▇█▇████▇▇█▇▇███▇█▇██▇█▇███▇█▇▇█▇███▇▇▇▇███▇█▇▇███▇▇▇███▇██▇█▇█▇██▇██▇█▇▇█▇███▇▇▇███████▇██▇█▇██▇▇██▇▇▇▇█████▇▇▇▇▇▇█▇████▇█▇▇█▇█▇████▇███▇▇██▇█▇▇███████▇▇██▇█▇██▇▇██▇██████▇███████▇██▇█▇██▇███████████████▇██▇▇██▇█▇▇█▇▇█▇▇███▇▇███▇▇█████▇▇███████▇██▇█▇█▇██▇███▇█▇▇▇▇██▇████▇███▇██▇██████▇▇███▇██▇▇██████▇█▇███▇▇█▇▇████████████▇▇█▇█▇███▇███▇██▇██▇████▇█▇█████▇███▇█▇█▇██▇████▇██▇████████▇████████▇▇███▇██████▇████▇██▇███▇██▇▇████▇██▇█████▇▇███████▇██▇▇█▇██▇█▇█▇▇█████▇█▇█▇███▇▇▇█████████▇▇███████████▇████▇▇█▇█▇██▇▇▇███████▇████▇████▇██▇█▇▇█▇█▇█▇██▇█▇███▇██▇█▇█████████▇██████▇██▇███▇▇▇█▇▇████▇▇██▇▇█▇▇█▇█▇█▇█▇██▇█▇██▇▇███▇███████▇▇█▇███▇▇▇█▇████▇█▇█▇██▇█▇▇▇▇█▇▇███▇███▇███████▇████▇▇▇█▇█████▇██▇██▇▇██▇████▇█▇▇████▇████▇████▇█▇███▇███████▇█▇██▇▇██▇███████▇█████
lorenz.svg,1.45ms,18.36µs,18.36µs,17.41µs,31.71µs,██▂▂▁▁▂▁▂▁▂▁▁▁▂▂▁▂▁▁▁▁▂▂▁▂▂▁▁▁▁▁▂▁▁▁▂▁▁▂▁▁▂▁▁▁▁▂▁▁▂▁▁▁▁▂▁▁▂▁▂▁▁▁▁▁▁▁▁▁▂▂▁▁▂▁▁▁▁▁▁▁▁▂▂▁▁▁▁▁▁▂▂▁▁▂▁▁▂▂▁▂▂▁▂▁▁▁▁▁▂▁▂▁▁▂▁▂▁▁▂▂▁▁▁▁▁▁▁▁▂▁▁▂▁▁▁▂▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▂▁▂▂▂▂▁▂▁▂▁▁▁▁▁▁▂▁▁▁▁▂▁▁▂▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▂▂▁▁▂▁▁▂▁▁▁▁▂▁▁▂▁▁▁▁▂▂▂▁▁▁▁▁▁▂▁▁▂▂▂▂▁▁▁▂▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▂▁▂▂▂▂▂▁▁▁▁▁▁▁▁▂▁▁▁▁▂▁▂▁▂▂▂▁▂▁▁▁▁▂▁▂▁▁▁▂▂▁▂▁▁▁▁▁▂▁▂▂▁▁▁▁▂▂▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▂▂▂▁▁▂▂▂▂▁▂▁▁▂▁▁▁▂▁▁▁▂▁▁▁▁▁▂▁▂▁▁▁▁▁▁▁▁▁▁▂▂▁▁▁▁▁▁▁▂▁▁▁▁▁▁▂▁▁▂▁▁▂▁▁▁▁▂▁▂▁▁▁▂▁▁▂▂▁▂▁▁▁▁▁▁▁▂▁▁▂▁▂▁▁▁▁▁▁▂▂▁▂▂▁▂▁▂▂▁▁▁▂▂▂▂▁▁▂▁▁▁▂▁▂▁▁▁▁▁▁▁▂▁▁▁▁▁▂▁▁▂▁▁▁▁▁▁▂▁▁▂▂▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▂▂▁▂▁▂▁▂▁▂▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▂▂▁▁▁▂▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▂▁▁▁▁▁▂▁▂▁▁▁▁▁▁▁▁▂▁▂▁▂▁▂▁▁▂▁▁▂▂▁▁▁▂▂▁▁▁▁▁▂▁▂▁▂▁▁▁▁▁▂▂▂▁▁▁▁▁▁▂▂▁▂▁▁▁▂▂▁▁▁▁▂▁▁▁▂▂▁▁▁▁▁▁▁▁▁▁▂▁▁▂▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▂▁▁▁▁▂▁▁▁▁▂▂▁▁▁▁▁▂▂▁▂▁▁▁▁▂▁▁▁▁▁▂▁▁▁▁▁▂▂▁▂▂▂▁▁▂▂▂▁▁▁▁▁▂▁▂▁▂▁▁▁▂▁▁▁▂▁▁▁▂▁▁▁▁▂▁▁▂▁▁▁▂▂▁▂▂▁▁▁▁▂▁▂▁▁▁▁▁▁▁▁▂▂▁▁▁▂▂▂▂▁▁▂▁▁▂▂▁▁▁▁▂▁▁▂▂▂▁▁▁▁▁▁▁▂▁▂▁▂▁▂▁▁▁▁▁▂▂▂▂▂▁▁▁▂▁▁▂▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▂▁▂▁▁▁▁▂▂▁▁▁▁▂▁▁▁▂▁▁▂▁▁▁▂▁▁▂▂▁▁▂▁▁▁▁▁▁▁▁▂▁▁▂▁▁▂▁▂▁▁▂▁▁▁▁▂▁▁▂▁▁▁▂▁▂▂▁▁▁▁▂▂▁▁▂▂▁▂▂▁▁▂▁▁▂▂▁▁▂▁▁▁▂▁▁▂▁▂▁▁▁▂▁▁▁▁▁▁▁▁▁▁▂▂▁▁▁▁▂▁▁▁▁▁▁▁▁▁▂▁▁▁▁▂▁▁▁▂▂▂▂▂▁▂▁▂▁
