AdapterInfo { name: "Apple M1 Pro", vendor: 0, device: 0, device_type: IntegratedGpu, driver: "", driver_info: "", backend: Metal }
samples: 1000
test,mean,median,min,max,plot
embrace.svg,106.56µs,112.13µs,25.17µs,1.27ms,█▂▂▁▁▁▁▁▂▁▁▁▁▂▁▁▁▁▁▁▁▁▁▂▁▂▁▁▁▁▂▁▁▂▁▁▁▁▁▂▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▂▁▁▂▁▁▂▁▁▂▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▂▂▂▂▂▁▂▁▂▂▁▂▂▂▂▂▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▂▂▂▂▂▂▂▂▂▁▁▂▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▂▁▂▂▁▁▂▁▂▁▁▂▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▂▂▁▂▂▂▁▂▂▁▁▁▁▂▁▁▂▂▁▂▁▂▂▁▂▂▁▁▂▁▁▂▂▁▁▂▂▁▁▂▂▁▁▁▂▂▁▂▂▂▁▁▂▂▁▁▁▁▂▂▁▂▂▁▂▂▁▂▂▁▁▂▂▂▁▁▁▂▂▁▁▂▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▂▂▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▂▁▁▁▁▁▂▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▂▁▂▁▂▁▁▂▂▁▂▁▂▂▂▂▁▂▁▂▁▁▁▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▁▂▁▁▁▁▁▂▂▁▂▂▁▁▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▁▂▂▂▁▂▂▁▁▁▂▂▂▁▂▂▂▂▂▂▁▂▁▁▁▁▁▁▁▁▁▁▂▁▁▂▂▂▂▂▁▁▂▂▂▂▂▁▂▂▁▂▂▂▂▂▂▂▂▁▁▂▁▂▂▁▂▂▂▂▁▁▁▂▁▂▂▂▂▂▂▂▁▂▂▁▁▂▁▂▂▁▂▂▂▂▂▂▂▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▂▁▁▁▁▂▂▁▁▁▂▁▁▂▁▁▂▁▂▂▂▂▁▂▁▂▂▂▁▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▁▁▂▂▁▁▂▂▂▂▂▂▂▂▁▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▁▂▁▂▁▁▂▁▁▁▁▃▁▂▁▂▂▂▂▂▂▁▂▂▁▂▂▂▂▂▁▂▂▂▂▁▂▂▂▂▁▂▂▂▂▂▁▂▁▁▁▂▂▂▂▂▂▁▂▂▂▂▂▁▁▁▁▂▂▁▂▂▂▂▂▂▂▁▂▂▁▂▂▂▁▂▂▁▁▁▁▁▁▁▂▂▁▁▁▁▁▂▂▂▂▂▂▁▂▂▂▂▂▁▂▁▂▂▁▂▂▂▂▂▁▂▂▂▂▁▁▂▂▂▂▂▂▂▂▁▁▂▂▂▁▂▂▁▁▂▂▂▁▂▁▁▂▂▁▁▂▁▁▂▁▁▂▂▁▂▁▁▁▁▂▁▂▁▂▁▂▂▁▁▂▂▁▂▁▂▁▁▁▂▁▁▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▁▁▂▁▂▂▂▁▂▂▂▂▁▁▁▂▁▁▂▂▂▂▂▂▁▁▂▂▁▂▂▁▂▂▂▁▂▂▂▂▂▂▂▂▁▂▂▁▂▁▂▂▂▂▁▂▂▁
paris-30k.svg,274.94µs,157.58µs,16.63µs,1.94ms,▂▁▁▂▂▁▁▁▁▂▂▄▁▂▁▁▁▂▁▁▄▂▄▁▁▃▁▁▄▂▁▁▄▁▁▁▂▁▂▂▂▁▂▂▁▂▂▂█▂▂▂▂▂▂▁▂▃▂▂▂▃▂▂▁▂▂▂▂▁▂▂▁▁▆▁▁▁▇▂▁▄▂▂▂▂▁█▂▂▂▁▂▁▂▂▂▅▆▁▂▂▁▁▁▂▁▂▁▃▂▂▁▂▂▁▁▃▂▂▁▂▃▁▁▁▂▂▂▁▂▁▁▁▆▁▂▂▁▁▁▁▁▁▂▁▁▃▁▁▂▁▁▂▇▂▂▂▂▂▁▂▂▄▁▁▁▁▂▁▁▆▁▂▂▂▃▆▁▂▁▂▁▃▂▂▂▂▂▁▂▃▂▂▂▂▁▁▂▂▃▁▃▂▂▂▁▄▂▃▁▁▁▂▁▁▂▁▂▁▂▂▂▁▁▃▂▁▁▁▂▃▄▂▁▁▂▄▂▁▂▁▂▄▁▅▂▁▂▂▂▃▂▂▂▃▃▁▂▂▂▂▂▃▁▂▂▁▅▃▁▂▁▂▂▁▂▁▂▁▃▂▁▂▁▂▁▂▂▃▂▁▁▁▄▁▁▂▁▁▁▁▂▄▂▁▁▂▁▁▂▁▇▇▂▂▄▂▁▁▁▂▂▂▁▂▁▁▂▁▂▂▂▁▁▁▁▁▂▁▁▁▂▂▄▂▂▂▇▁▁▁▁▂▁▃▁▁▂▁▁▃▆▁▁▁▂▂▃▁▁▂▇▄▁▂▇▂▁▃▄▂▁▁▂▆▂▂▂▂▁▁▂▁▁▂▂▁▃▁▂▂▁▁▁▂▂▄▂▂▂▃▂▁▂▃▁▁▂▂▂▁▁▂▂▁▂▂▁▁▂▂▄▁▁▃▁▁▂▂▂▂▂▁▂▂▁▂▂▃▁▁▁▂▁▂▁▂▂▁▂▂▂▂▂█▂▂▂▄▂▁▁▁▁▁▁▇▅▁▂▂▁▁▂▁▂▂▂▂▂▃▁▄▂▅▃▇▁▄▁▁▁▃▂▂▄▁▁█▁▂▂▁▃▃▂▂▁▃▃▂▂▁▂▄▂▁▁▁▂▅▁▄▁▂▂▆▂▁▂▂▂▂▁▂▂▁▂▃▂▁▁▁▁▂▁▁▇▁▁▂▁▂▁▁▁▁▄▃▄▃▂▂▂▁▁▁▁▄▇▇▁▁▁▄▂▄▄▂▂▁▁▃▄▂▁▁▁▃▂▄▂▁▁▂▂▆▁▁▁▁▁▁▃▂▂▃▂▁▂▂▁▃▁▃▂▁▂▂▁▃▂▁▇▁▂▂▁▂▁▃▄▁▄▃▂▁▂▁▂▂▂▃▂▁▁▆▁▂▁▁▂▁▁▁▁▄▁▂▁▁▂▁▁▁▄▂▁▇▂▂▁▂▂▁▁▁▁▁▂▁▂▁▂▁▃▁▄▁▃▃▃▂▂▁▃▁▄▂▂▂▂▁▁▃▁▂▃▄▂▃▂▂▁▃▂▁▂▂▁▂▃▁▁▂▁▂▃▁▁▁▂▂▃▁▂▁▂▂▂▁▁▁▂▂▂▂▂▄▂▂▃▁▁▁▂▁▂▁▂▂▁▂▁▂▃▁▂▂▁▁▄▁▁▂▁▁▂▂▁▁▃▁▁▂▂▇▁▇▁▂▂▂▁▁▂▂▇▂▁▃▇▂▁▂▄▂▄▂▂▁▂▃▂▁▂▁▃▃▂▂▂▂▂▄▂▁▃▁▂▃▄▆▁▁▁▂▃▁▂▂▁▁▁▂▁▂▂▂▃▁▁▁▁▂▁▁▁▂▂▃▁▂▂▁▁▁▂▁▆▁▁▂▂▁▁▃▂▁▂▇▁▁▂▂▂▁▁▁▃▁▂▄▆▄▁▂▂▂▁▂▁▁▁▁▁▂▃▂▁▂▃▁▂▂▁▂▁▁▃▂▃▂▂▁▃▁▂▁▁▄▆▂▄▁▁▂▁▂▁▂▁▁▂▆▄▁▂▂▂▂▂▄▂▂▂▄▂▃▁▂▃▁▁▁▂▁▂▁▂▁▂▂▄▁▂▁▁▂▇▁▃▁▁▁▁▂▁▃
paris-70k.svg,205.13µs,149.67µs,10.38µs,2.82ms,█▄▁▁▁▁▁▁▃▁▁▁▁▁▁▁▁▁▁▅▁▁▁▁▁▁▁▁▃▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▃▂▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▄▃▁▃▁▁▃▁▁▁▁▁▁▁▁▁▁▁▁▃▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▃▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▃▁▁▄▁▂▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▄▁▁▁▁▁▃▁▁▃▁▁▁▁▁▁▁▃▁▂▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▂▁▁▁▃▁▁▁▃▃▁▁▁▁▁▁▄▁▁▁▂▁▁▁▁▁▁▁▄▁▁▃▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▃▁▁▁▁▁▁▁▁▁▁▃▁▁▁▁▁▁▃▁▁▁▁▁▁▁▁▁▁▁▃▂▁▁▁▁▁▁▁▁▁▁▁▁▁▃▁▁▁▁▁▁▁▂▁▁▄▃▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▃▁▁▁▁▁▁▁▄▁▄▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▃▁▁▁▁▁▁▁▁▃▁▁▁▁▁▁▁▁▁▁▁▅▃▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▄▁▁▁▁▄▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▃▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▃▁▁▁▁▁▁▁▁▁▁▁▁▄▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▃▁▁▁▃▁▃▁▁▁▁▁▃▁▁▁▁▃▁▁▁▁▁▁▁▁▁▁▂▁▁▂▃▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▃▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▄▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▃▁▁▁▁▁▂▃▁▁▁▁▁▁▁▁▁▁▂▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▃▁▁▂▁▁▁▁▁▁▁▁▁▃▁▃▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▃▄▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▃▁▁▁▁▁▁▁▁▁▁▁▁▃▁▄▁▁▁▂▁▁▁▁▁▃▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▃▁▁▁▁▁▁▁▁▁▁▁▁▁▁▄▁
tiger.svg,77.70µs,77.42µs,18.79µs,839.29µs,▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▂▁▂▂▂▁▁▁▁▁▁▁▁▁▂▂▁▂▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▂▁▂▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▂▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▂▂▂▂▁▁▁▁▂▁▂▁▁▂▂▁▁▁▁▁▂▁▂▁▂▁▁▁▁▂▁▂▂▁▁▁▂▂▂▂▁▂▂▂▁▂▂▁▁▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▁▂▂▂▂▁▁▁▁▁▁▂▁▁▂▁▁▁▁▁▂▁▂▁▂▁▂▂▂▁▂▂▂▁▁▂▂▁▁▁▁▁▁▂▁▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▁▁▂▂▁▁▁▂▁▂▁▂▂▁▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▁▂▂▂▂▂▂▂▁▂▁▂▁▁▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▁▁▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▁▂▂▁▂▂▂▂▂▂▂▁▂▁▁▁▂▂▂▂▂▂▂▁▂▂▂▂▂▃▂▂▂▁▂▂▂▂▂▂▁▂▂▂▁▂▂▂▂▂▂▁▂▂▂▂▂▁█▁▂▁▂▂▁▁▂▂▂▂▂▂▂▁▂▁▁▁▂▂▁▂▂▂▁▁▂▂▁▁▂▂▁▂▂▁▂▁▂▁▁▂▂▁▂▂▁▂▁▁▁▂▁▂▁▁▂▁▁▂▂▂▂▂▁▂▂▂▂▁▂▁▂▂▁▂▁▂▁▁▂▂▂▁▂▂▂▁▂▂▂▁▂▁▂▁▂▁▂▂▂▁▂▂▂▂▂▁▂▁▂▁▂▂▂▂▂▂▂▂▁▁▂▂▁▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▁▂▁▂▁▂▁▂▂▂▂▂▁▂▂▂▂▂▂▁▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▁▂▂▁▂▂▁▂▂▁▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▁▂▂▂▁▂▂▂▂▂▂▂▂▁▂▁▁▁▁▁▁▁▁▁▂▁▁▁▁▂▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▂▁▁▂▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▂▂▂▁▂▂▁▂▂▂▁▁▂▂▁▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▁▂▁▁▂▃▁▁▁▂▂▁▁▁▂▁▁▁▁▂▁▁▁▁▂▂▁▁▁▁▂▂▂▂▁▁▂▁▂▂▂▁▂▁▁▁▁▁▂▂▁▁▁▂▂▂▁▁▁▁▁▂▁▂▁▁▁▂▁▁▂▁▁▁▁▁▁▁▁▁▂▁▁▂▂▂▁▁▁▁▂▁▂▂▂▂▂▂▂▂▂▂▂▁▁▁▁▂▁▂▁▁▂▁▂▂▂▂▂▁▂▂▁▂▂▂▁▂▂▁▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▁
paris-50k.svg,205.89µs,146.50µs,10.04µs,1.48ms,▁█▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▄▂▂▁▂▂▁▂▅▂▂▂▂▂▂▄▂▂▅▂▂▂▂▂█▁▁▂▂▂▂▂▁▂▂▄▂▂▂▅▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▁▂▂▂▁▂▂▂▂▂▂▁▂▅▂▂▂▅▂█▁▂▂▁▂▂▂▂▂▂▃▂▂▂▂▁▂▂▂▂▄▂▂▂▂▂▂▂▂▂▄▂▂▂▂▁▂▂▁▂▂▂▂▂▄▁▂▂▂▂▂▂▆▂▂▅▂▅▂▁▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▄▂▂▂▂▂▂▂▂▂▄▂▂▂▄▂▂▂▆▅▂▂█▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▅▂▂▁▂▂▂▂▂▂▂▁▂▁▂▂▂▂▂▅▂▂▂▂▂▂▂▂▂▅▂▂▂▄▁▄▂▁▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▅▂▂▂▂▂▂▁▂▂▂▂▂▂▁▂▂▂▂▄▂▂▂▂▂▂▄▂▂▂▅▂▂▂▂▄▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▅▂▂▂▁▂▂▂▂▂▂▂▂▂▄▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▄▂▂▂▂▂▂▂▂▂█▂▁▂▄▂▂▂▂▂▅▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▁▂▂▂▄█▂▂▁▁▂▂▂▂▂▂▂▂▃▄▂▂▂▂▂▂▂▂▂▄▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▄▂▂▂▂▅▂▂▂▂▂▂▂▂▂▂▂▂▂▅▂▂▅▂▂▂▂▂▂▂▂▂▂▂▂▅▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▄▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▅▂▂▂▂▂▂▂▂▂▂▂▂▅▁▂▂▂▂▂▂▅▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▅▂▂▂█▂▂▁▁▂▂▂▂▅▂▂▂▂▂▂▂▂▂▂▂▃▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▁▂▂▂▂▂▂▂▁▇▂▁▂▄▂▂▂▂▂▂▅▂▂▂▂▄▂▅▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▆▂▂▂▂▂▂█▂▂▂▂▅▂▂▂▂▅▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▅▂▁▂▂▂▂▂▂▂▂▂▂▇▂▂▂▂▂▅▂█▂▂▂▂▂▂▂▂▂▁▂▂█▂▂▂▂█▂▄▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▄▂▂▂▂▂▁▂▁▂▁▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▅▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▄▂▂▃▂▂▂▁▂▂▂▂▅▂▂▄▂▁▂▄▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▄▂▁▂▂▂▂▂▂▂▂▃▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▁▂▂▂▂▂▂▂▅▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂█▂▂▂▂▂▂▃▂█▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂█▂▂▂▂▂▂▂▂▂▂▂
contour.svg,112.03µs,63.96µs,13.63µs,760.79µs,▁▁▁▁▁▁▁▁▁▅▁▂▂▁▁▁▁▁▂▂▁▅▁▁▁▃▂▁▁▁▅▅▂▁▁▁▅▁▁▅▅▁▁▁▁▂▁▁▂▁▅▁▃▁▁▅▂▂▅▁▁▁▁▂▁▁▁▅▁▅▂▁▁▁▁▁▅▂▅▁▅▂▁▂▃▂▅▁▅▁▄▄▅▁▁▁▂▅▁▅▅▁▂▁▁▁▁▁▂▁▂▁▅▂▂▅▁▁▅▅▁▁▁▂▁▅▅▁▁▂▅▁▅▁▂▂▅▁▁▁▁▂▅▁▅▁▅▅▂▁▁▅▁▁▁▁▂▁▁▅▂▁▁▁▁▁▂▁▂▁▂▂▁▆▂▂▁▁▁▂▁▁▂▁▁▁▁▁▁▁▁▂▁▂▅▁▁▁▁▅▁▁▁▂▁▅▁▂▁▁▁▁▂▁▁▁▂▂▅▄▁▁▁▁▁▅▁▁▅▁▅▂▃▅▁▂▂▅▁▁▁▁▁▁▁▅▁▁▁▂▁▅▁▂▂▁▁▁▁▁▁▅▁▁▅▁▁▅▁▁▁▁▁▁▅▅▁▂▁▁▂▁▂▂▁▃▁▂▂▁▅▂▁▁▁▂▁▁▁▂▂▁▁▁▁▁▂▁▁▅▅▁▁▁▂▂▁▂▂▁▂▁▁▅▁▁▁▁▁▁▂▂▁▁▁▁▁▂▁▂▁▁▂▂▂▁▁▁▁▅▁▁▁▁▅▁▂▁▂▂▂▅▁▁▁▁▅▁▁▁▅▁▂▅▁▂▁▂▁▁▁▁▁▁▁▅▇▁▁▁▁▁▁▁▁▁▁▅▁▅▁▁▃▁▂▂▁▁▅▂▁▂▁▁▁█▂▁▂▁▂▂▂▂▂▁▂▂▂▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▆▁▁▁▁▂▂▁▁▂▂▂▂▁▁▂▂▁▁▁▂▂▂▂▂▂▁▂▁▂▁▁▁▂▁▁▂▁▂▂▂▂▂▁▇▂▂▁▁▂▂▆▁▁▂▁▁▁▁▅▁▂▁▁▂▂▁▁▂▂▂▁▁▁▁▁▁▁▂▁▁▁▁▂▅▂▁▅▅▁▅▅▁▂▁▁▁▁▁▁▁▁▁▁▂▃▁▁▅▁▁▁▁▁▇█▂▁▂▁▁▁▁▂▁▁▁▁▁▁▁▂▁▁▁▄▁▁▂▁▁▁▁▁▁▃▂▅▅▂▁▂▂▂▁▁▂▁▂▁▁▁▁▁▂▁▂▂▂▁▁▂▂▂▁▁▂▂▅▂▁▁▂▁▁▁▂▂▁▂▁▁▁▁▁▇▁▁▂▁▂▁▂▁▇▂▁▁▁▂▂▂▂▁▁▁▁▂▂▁▇▂▁▂▁▂▁▁▁▁▂▁▂▁▂▂▂▂▁▂▇▅▁▅▁▂▂▁▁▂▅▁▁▁▁▂▁▁▂▂▁▁▅▁▁▁▁▁▂▁▂▁▁▁▂▂▂▁▁▁▁▅▂▁▁▁▃▁▂▁▂▁▁▁▁▂▁▁▁▁▂▁▂▁▂▂▁▁▁▅▂▂▁▁▁▁▁▂▂▇▁▇▂▂▂▇▂▂▁▂▁▁▁▁▁▁▁▂▁▁▁▁▃▂▁▁▂▁▁▂▂▂▁▁▁▂▁▁▁▁▁▁▇▁▁▂▅▁▂▁▁▅▁▂▁▁▂▁▁▁▁▂▁▁▂▂▁▁▁▂▁▁▁▁▁▁▁▁▁▁▂▁▂▁▅▁▁▂▆▂▅▁▁▂▁▂▁▂▂▁▁▂▅▅▁▃▁▁▁▁▁▁▁▂▁▁▁▂▂▁▁▁▁▂▂▁▂▁▁▃▂▁▇▁▂▁▁▁▁▁▁▂▁▂▁▂▁▁▁▅▂▁▁▂▂▁▂▁▁▇▂▂▂▂▁▁▁▁▂▁▁▁▁▂▁▂▇▁▁▂▂▁▂▁▂▂▂▁▂▂▂▁▁▁▁▁▂▁▂▁▁▁▂▇▅▂▂▃▁▂▁▁▁▁▇▁▁▂▂▁▅▇▁▁▁▂▁▁▁▁▂▁▁▁
