AdapterInfo { name: "Apple M1 Max", vendor: 0, device: 0, device_type: IntegratedGpu, driver: "", driver_info: "", backend: Metal }
samples: 1000
test,mean,median,min,max,plot
spirograph.svg,88.76µs,104.38µs,18.75µs,1.87ms,█▅▁▂▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▂▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
lorenz.svg,92.16µs,92.88µs,15.33µs,393.42µs,▂▁▂▂▂▁▂▂▃▃▂▃▂▃▁▂▂▂▁▃▂▂▂▂▆▁▄▃▁▄▄▃▁▄▄▃▂▂▂▂▃▁▂▃▂▂▂▁▂▃▂▂▂▂▂▂▂▂▂▂▂▂▂▃▂▂▃▃▁▂▁▁▁▂▁▁▂▁▁▃▂▁▁▁▁▂▂▃▂▂▂▁▁▁▃▂▂▂▃▁▂▂▄▂▁▂▂▂▂▁▃▂▂▂▂▃▂▁▂▂▂▂▂▃▂▃▃▃▂▃▂▃▃▂▃▃▂▃▃▃▂▃▃▃▂▂▃▂▃▂▂▂▂▃▂▂▂▂▁▃▃▃▃▃▁▂▂▂▂▃▂▂▃▁▁▂▁▂▃▂▂▃▄▂▃▃▃▂▂▂▁▁▂▂▃▁▃▃▃▃▃▂▂▂▂▂▂▂▃▃▂▂▃▂▂▂▃▂▂▇▅▂▂▃▁▃▃▁▂▃▁▂▃▂▂▃▃▂▂▃▂▂▁▂▃▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▄▂▂▂▂▂▂▃▂▁▃▅▂▂▅▂▂▃▂▃▂▂▃▂▃▂▃▂▃▂▃▃▅▂▂▁▂▂▃▂▂▁▂▃▃▁▃▂▁▂▃▂▂▃▃▂▂▂▁▂▂▂▂▃▂▃▂▂▃▂▃▂▂▃▂▃▂▁▁▂▃▂▂▂▃▂▂▃▃▂▃▂▁▂▂▂▂▃▂▁▃▃▁▃▃▃▃▂▂▂▂▁▂▂▂▂▃▂▃▁▃▁▃▃▃▃▃▃▂▃▂▂▂▂▁▂▂▂▂▂▂▃▃▂▃▂▃▂▃▂▃▃▃▂▂▁▁▃▂▁▃▃▂▃▃▂▂▂▂▂▂▂▂▂▂▂▃▃▃▃▂▂▁▃▃▂▂▂▂▁▃▂▂▂▂▃▃▂▁▂▂▂▂▂▂▃▁▂▂▁▁▃▂▄▂▃▂▂▃▂▂▂▂▂▃▃▂▃▃▂▂▃▂▃▃▂▂▃▂▂▃▂▃▂▂▃▂▂▃▃▂▂▃▂▂▁▃▃▃▃▃▂▂▃▂▂▃▂▂▂▃▃▃▂▂▂▂▂▂▃▁▃▂▂▂▃▂▃▂▃▂▂▂▃▃▄▃▂▂▃▃▂▃▂▃▂▂▂▃▂▂▂▃▃▁▂▂▂▂▂▂▃▂▂▂▃▃▃▂▃▁▂▂▃▂▂▂▃▃▂▂▂▂▂▃▂▃▄▄▃▂▃▂▃▂▁▂▃▃▂▃▃▂▂▃▃▂▃▃▂▂▁▂▃▁▃▂▂▂▂▁▃▁▃▄▃▂▁▄▃▃▂▂▁▄▃▃▃▂▁▂▄▃▃▃▃▃▃▃▂▂▃▁▃▂▂▃▂▃▂▂▃▂▂▂▂▃▂▁▂▄▁▂▃▂▂▃▃▃▃▃▂▂▃▁▂▂▄▂▃▃▃▂▃▂▂▂▂▃▃▂▃▂▁▂▂▃▂▂▃▂▃▂▂▂▂▃▂▁▂▂▂▁▃▂▁▂▂▃▁▂▁▂▂▂▅▃▃▃▂▃▃▂▂▂▃▂▃▂▂▂▃▂▂▂▃▂▃▃▂▃▃▃▂▂▃▃▂▃▃▃▂▂▂▂▃▃▂▂▂▂▁▂▂▃▂▃▁▂▁▂▂▂▃▃▃▂▃▂▂▂▂▃▃▃▃▂▄▂▂▃▃▂▂▃▂▂▂▂▂▂▃▂▃▂▂▁▂▃▃▂▂▂▅▁▂▂▁▂▁▂▂▂▂▂▃▂▂▂▂▂▂▂▂▂▂▃▂▂▂▃▂▂▂▃▂▂▂▃▂▃▂▂▄▃▂▂▁▂▂▂▁▃▃▃▂▂▂▃▂▃▂▂▂▃▂▂▂▂▃▂▃▂▃▂▃▃▃▃▂▃▃▃▂▂▂▃▂▁▃▂▃▂▂▃▂▃▃▂▂▃▃▃▃▂▂█▂▁▂▂▂▃▂▁▃▃▂▁▄▁▂▃▂▃▂▃▂▃▂▃▂▃▂▃▂▃▂▃▂▂▂▂
spiral.svg,88.14µs,90.67µs,18.04µs,368.29µs,▁▃▃▂▂▂▂▂▂▃▃▂▂▂▄▂▃▂▂▁▃▂▃▂▁▃▂▃▂▂▃▃▂▃▂▂▂▃▃▂▃▃▂▃▃▂▂▃▃▂▂▂▃▂▃▂▃▃▃▃▃▂▄▃▂▃▂▃▂▄▃▃▂▃▂▃▂▃▃▂▁▃▂▂▂▃▂▂▂▂▁▂▃▃▃▃▂▂▂▃▂▂▃▄▃▂▂▄▃▂▃▂▃▃▂▂▃▃▃▁▃▂▃▄▃▃▃▃▃▂▃▂▂▂▄▂▂▂▂▂▂▃▃▂▃▃▄▂▂▃▄▂▂▁▂▄▃▂▃▁▃▂▂▃▁▁▁▁▁▃▁▃▁▂▃▁▂▂▃▃▃▂▂▃▄▃▂▂▄▂▂▂▁▂▃▃▂▃▄▄▃▂▃▁▂▃▂▃▃▃▁▂▃▂▂▂▂▂▂▃▃▃▃▃▄▄▃▂▂▂▂▃▂▃▁▂▂▃▂▁▂▂▁▃▂▂▂▂▂▂▂▂▄▂▂▂▃▄▃▂▂▂▄▁▂▃▂▁▂▂▂▃▃▄▂▃▂▁▃▁▂▂▂▂▃▂▄▂▂▁▃▂▂▃▄▃▂▃▂▂▂▂▂▂▂▂▂▂▂▃▂▃▂▂▃▂▁▂▄▂▂▃▂▄▂▃▃▃▂▂▃▃▃▂▂▂▄▂▁▃▃▂▂▃▄▂▂▂▃▂▃▁▄▃▂▂▂▂▃▂▁▂▂▃▄▃▂▂▃▂▃▃▃▂▂▂▃▃▄▂▂▃▂▃▃▁▃▃▁▃▂▁▃▁▁▂▃▁▃▃▃▂▂▂▃▄▃▃▂▃▁▁▁▁▂▂▂▂▂▃▂▁▃▁▁▁▃▁▂▃▂▃▂▃▂▃▂▃▃▂▂▅▂▂▂▃▂▁▂▂▂▂▁▃▂▂▂▃▃▂▃▁▂▃▂▂▂▂▂▂▂▂▂▃▁▁▂▂▂▃▂▄▂▂▂▂▂▂▃▄▂▁▃▃▂▂▂▄▂▃▂▂▂▃▃▁▃▂▂▂▂▄▃▂▃▂▃▂▂▂▂▂▃▂▃▂▂▃▂▃▂▄▂▂▂▂▄▁▃▄▂▂▃▃▃▂▂▂▂▃▂▃▂▃▂▃▂▂▄▂▂▃▃▃▂▃▃▃▂▄▃▂▂▄▃▂▃▄▂▂▂▃▂▁▂▂▂▃▂▂▁▃▂▂▂▄▃▂▂▂▂▄▃▂▃▂▂▃▂▂▁▄▃▂▂▂▃▃▂▄▂▂▂▂▁▃▂▃▂▃▂▄▃▂▃▂▂▃▂▂▃▄▃▂▂▂▄▁▁▇▂▂▃▂▂▂▂▃▃▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▃▂▂▂▂▂▂▇▃▂▂▂▃▃▂▃▃▂▂▂▂▃▃▃▁▃▂▁▃▃▃▃▂▃▂▂▁▃▁▃▁▂▂▂▁▂▁▃▃▁▁▃▁▃▃▁▂▃▃▃▃▃▃▂▂▃▂▃▂▃▃▃▂▂▄▂▃▃▂▂▃▂▃▂▂▃▂▂▄▃▂▃▂▃▂▃▂▄▃▃▁▂▃▁▂▂▃▁▄▂▂▃▁▂▃▂▂▂▂▂▄▂▁▂▃▄▂▂▂▂▃▂▂▂▂▂█▃▂▂▃▂▂▁▂▃▁▂▂▂▂▂▃▂▂▁▂▃▂▂▂▃▂▂▁▂▂▃▂▁▁▁▁▂▁▂▂▂▂▁▃▁▃▂▃▃▁▂▃▁▃▃▃▁▂▂▂▂▃▂▁▁▃▃▃▁▁▁▂▃▂▁▁▃▁▁▂▂▁▃▃▃▃▂▂▄▃▃▃▂▂▅▃▃▃▂▃▂▂▃▃▂▂▃▂▂▂▂▁▂▃▂▃▃▂▂▁▂▁▃▃▂▃▂▃▃▃▃▄▃▂▃▂▃▃▃▁▂▂▃▂▃▄▂▂▂▂▂▂▂▃▃▃▃▃▃▂▂▃▄▄▂▂▂▃▂▁▃▂▃▃▂▂▃▂▂▂▁▃▁▃▂▃▁▁
blender.svg,85.07µs,97.50µs,19.21µs,299.63µs,▃▃▃▁▃▁▁▁▃▃▃▃▁▃▁▁▁▃▃▃▃▃▃▁▂▃▃▄▃▄▃▃▃▃▃▃▃▁▂▂▄▅▃▃▃▃▂▃▃▁▁▄▃▃▄▃▃▃▂▃▃▃▂▂▃▃▃▂▂▃▃▃▄▃▃▃▃▄▁▃▃▃▃▄▄▃▅▁▃▁▃▂▃▃▃▃▃▂▂▃▃▃▃▄▃▁▄▃▂▃▄█▃▃▃▄▂▃▃▃▃▄▃▃▄▃▃▁▁▄▃▃▂▃▃▃▃▄▄▃▃▁▅▃▃▃▄▃▃▁▃▄▁▃▃▂▂▃▂▃▃▃▃▅▃▃▁▃▃▁▁▃▃▁▃▃▃▃▃▁▃▁▃▃▃▄▃▃▁▄▂▁▃▄▃▄▁▃▂▃▃▃▃▄▂▅▃▃▂▂▂▃▃▃▃▃▂▄▃▃▃▃▁▂▃▁▃▄▂▃▃▃▃▃▂▂▄▃▃▃▁▂▃▃▃▃▃▂▂▄▃▃▃▃▂▃▃▄▃▃▃▂▂▃▃▃▂▂▃▃▃▃▄▁▃▄▃▃▂▃▄▃▃▃▃▃▄▄▃▃▃▃▃▃▃▁▁▁▁▃▁▁▁▃▃▁▁▁▁▃▃▁▁▁▁▁▃▃▃▃▂▁▁▁▁▁▃▃▁▁▃▃▂▂▃▃▃▂▃▃▃▂▃▃▃▃▁▃▃▃▃▃▂▂▃▃▃▂▂▃▃▃▅▃▃▁▁▃▃▂▁▁▁▁▁▁▂▂▃▄▃▃▃▃▃▃▄▃▃▃▃▃▂▄▃▁▃▃▁▃▁▂▃▃▂▃▄▃▃▄▄▄▃▃▃▃▃▂▃▃▃▄▄▃▃▁▃▁▄▁▃▃▃▄▃▁▃▂▂▃▁▃▃▃▄▃▁▁▄▁▃▁▁▃▁▂▁▁▇▁▃▁▂▁▃▂▁▁▁▃▁▃▁▁▁▁▂▁▃▃▁▃▂▃▁▂▁▁▃▄▁▂▃▁▂▃▃▃▆▁▃▃▃▃▄▃▃▃▃▂▃▁▂▃▃▃▄▃▁▃▃▃▃▃▂▃▅▁▃▂▁▃▄▃▃▃▃▂▃▂▄▃▃▃▂▄▃▃▁▃▄▃▃▂▃▃▁▃▅▃▃▄▃▃▃▁█▃▃▃▃▃▁▃▂▁▃▄▃▃▃▄▃▃▃▁▃▃▃▄▂▃▁▃▄▃▃▁▁▂▄▃▄▃▄▁▁▁▁▁▃▁▁▃▁▃▃▃▃▃▁▂▃▃▃▃▁▁▃▁▃▁▃▃▁▃▁▁▁▄▁▁▁▁▁▁▁▃▄▃▃▃▂▂▃▃▁▃▂▂▃▂▃▂▂▃▃▃▃▁▂▂▃▃▃▂▄▃▁▃▂▃▃▁▂▂▃▁▃▃▃▂▂▃▃▃▄▂▄▃▂▃▂▂▃▃▁▃▄▃▃▃▁▃▃▃▂▂▂▃▁▁▃▄▃▁▃▃▁▃▁▂▂▃▁▁▃▃▃▃▃▃▂▃▃▁▄▂▃▃▃▃▄▃▁▃▃▆▁▃▂▂▃▁▄▄▃▃▁▃▅▃▃▃▁▄▁▃▁▃▄▃▃▃▃▂▁▂▃▃▁▂▂▃▂▂▃▃▃▂▂▃▃▃▄▂▃▃▁▃▃▂▃▃▂▃▄▃▃▂▃▃▃▄▂▃▃▃▃▂▁▁▃▁▁▂▄▃▃▃▄▅▃▃▃▃▄▃▃▃▁▅▃▁▄▃▃▃▃▄▃▁▃▃▁▁▄▃▃▁▁▄▃▃▁▃▃▃▃▃▃▄▃▃▃▃▁▃▃▃▃▄▃▂▃▁▂▃▃▃▁▃▃▃▃▃▃▃▃▃▃▃▁▃▃▁▁▄▁▁▃▁▃▃▆▁▁▁▃▃▁▃▃▃▃▃▃▃▁▄▃▁▁▁▁▁▁▂▃▃▃▂▃▄▃▃▃▃▃▃▃▃▃▃▃▃▂▃▃▃▃▅▄▂▃▂▃▄▃▃▂▃▃▃▁▃▂▃▅▃▃▂▃▄▁▃▂▃▃▃
waves.svg,187.58µs,185.88µs,13.21µs,1.02ms,▃▂▂▂▂▂▁▂▁▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▃▂▂▂▁▂▂▂▂▃▂▃▂▃▂▃▂▃▂▃▂▃▃▂▃▂▂▂▃▃▃▂▃▃▂▃▃▃▂▃▂▃▃▃▃▃▂▃▂▃▂▃▃▃▃▃▃▃▂▂▃▃▃▃▂▃▃▅▃▃▃▂▃▃▃▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▃▂▃▂▂▃▂▃▂▃▂▃▃▃▂▃▃▃▃▂▃▃▂▃▂▃▃▂▃▂▃▂▃▂▂▂▃▃▃▃▂▃▂▃▃▂▃▂▃▃▃▃▃▃▂▃▃▃▃▃▃▃▂▃▃▃▂▃▃▂▃▃▂▃▃▃▃▃▃▃▂▂▁▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▃▂▂▂▂▂▂▂▂▂▂▂▂▃▃▃▂▂▃▂▃▃▃▂▃▂▃▂▃▂▂▂▂▃▂▃▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▃▂▃▂▃▂▂▃▃▂▃▂▃▂▃▂▃▂▃▃▂▃▂▃▂▃▂▃▃▃▂▃▃▃▃▃▃▂▃▂▃▃▃▃▃▃▂▃▄▃▃▃▂▃▂▂▃▂▃▃▃▃▃▃▃▂▃▃▂▃▃▃▃▂▂▂▂▃▃▁▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▃▂▂▃▂▂▂▄▂▂▂▂▂▂▂▂▂▂▃▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▃▂▁▂▃▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▃▂▂▁▂▂▂▂▁▂▂▃▂▂▂▂▃▂▂▂▃▂▃▃▂▃▂▃▃▂▃▂▃▂▃▂▃▂▃▃▃▃▃▃▃▃▃▃▃▃▃▃▂▂▂▂▃█▂▁▂▁▂▁▂▂▂▂▂▂▂▂▃▁▂▂▁▂▁▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▃▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▃▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▃▂▃▂▂▂▂▃▂▃▂▃▂▃▂▂▃▃▃▃▃▂▃▂▃▃▃▃▂▃▃▃▃▂▃▂▃▃▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▃▂▃▂▃▂▃▂▃▂▂▃▂▃▂▃▃▃▃▃▃▂▃▃▃▃▃▃▂▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▂▃▂▃▃▂▃▂▃▂▃▃▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▃▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▁▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂
roads.svg,118.98µs,110.92µs,19.08µs,291.46µs,▄▃▃▂▃▃▃▃▃▃▄▇▃▃▂▂▃▂▃▃▂▃▂▃▃▃▃▃▃▃▃▃▃▃▃▂▂▃▄▄▃▃▃▃▂▃▃▃▃▃▃▃▃▃▃▃▂▁▃▃▁▃▁▃▃▂▃▃▃▃▃▃▃▁▂▄▂▃▁▃▃▃▂▄▂▂▁▃▂▃▂▃▃▃▄▃▂▃▃▂▁▂▁▃▃▃▂▃▂▂▂▁▂▁▂▃▂▃▂▃▂▂▂▂▃▂▃▂▃▁▂▃▃▂▃▃▃▃▂▃▁▂▃▄▃▂▃▂▃▂▂▁▃▃▃▂▃▃▃▃▃▃▃▄▂▃▃▂▃▂▃▃▂▂▂▂▃▄▃▄▂▂▃▂▂▃▃▃▂▄▂▃▃▃▃▄▂▃▃▃▃▃▂▃▅▂▃▄▃▃▂▃▃▃▃▃▃▃▂▄▃▃▃▃▃▃▃▃▁▂▂▃▃▃▃▃▃▁▃▃▃▂▃▂▃▃▃▃▃▃▂▃▂▂▂▂▃▂▃▂▃▂▂▂▃▂▂▃▃▃▃▃▂▃▂▃▃▂▃▃▂▃▃▁▃▁▂▂▃▃▃▄▃▃▂▃▃▃▃▂▃▂▂▂▃▂▂▃▂▂▃▂▁▃▃▂▂▃▄▃▃▃▃▃▃▃▃▃▂▂▁▄▃▃▃▂▃▃▃▂▃▃▃▃▂▄▃▂▂▃▃▂▂▂▃▃▄▃▃▃▃▂▃▃▄▃▃▂▂▃▂▃▄▃▃▃▂▃▃▃▅▄▃▂█▄▃▄▂▄▄▃▄▃▃▅▃▃▄▃▃▃▄▃▃▃▄▃▃▄▄▃▃▃▄▄▃▃▄▄▄▅▃▃▅▅▃▃▃▄▅▄▃▃▆▄▃▄▄▃▃▄▃▃▃▃▄▃▃▃▃▄▄▃▅▄▄▅▃▃▃▃▃▄▄▃▃▃▄▄▃▃▄▃▃▄▄▄▄▃▃▄▄▄▃▃▄▃▃▃▄▄▄▄▃▃▃▃▃▄▄▃▃▄▅▃▃▅▄▄▄▄▃▃▄▄▅▂▃▃▄▅▄▄▃▃▄▄▄▄▄▄▃▃▅▄▃▃▃▅▃▃▃▅▃▅▃▅▃▄▃▅▇▃▃▃▄▃▃▃▃▃▄▃▃▃▄▃▃▄▃▄▃▄▃▄▃▄▃▃▃▄▄▃▅▃▅▃▄▅▅▄▅▄▃▄▅▃▅▃▅▃▃▅▃▅▃▃▅▅▃▅▄▅▃▄▅▅▃▃▅▅▅▃▅▅▃▅▅▃▅▄▅▅▅▄▄▅▃▅▄▄▅▅▅▄▄▅▅▄▅▅▅▅▅▅▄▃▅▅▄▅▅▄▅▅▄▅▅▄▄▅▅▄▅▄▅▄▅▄▅▅▅▃▃▄▃▃▅▄▅▃▃▄▅▃▅▃▃▄▄▄▄▅▄▃▄▄▄▅▄▃▄▅▃▅▃▄▅▅▄▄▄▄▄▄▅▅▅▅▅▅▅▅▅▅▅▅▅▅▄▅▅▄▅▄▅▄▅▅▅▅▅▄▅▅▄▅▅▃▅▅▄▄▅▄▅▅▅▄▅▅▅▄▅▄▅▅▅▅▅▄▅▅▅▅▅▄▅▅▅▅▅▆▅▅▄▅▄▅▅▅▅▄▅▄▃▅▄▅▅▅▅▄▄▅▅▄▅▄▅▅▅▄▄▄▅▅▅▅▅▄▅▄▅▅▅▄▄▄▅▅▅▅▅▄▅▅▅▅▅▅▅▄▅▄▅▅▅▅▅▅▅▄▅▅▄▅▄▄▅▄▄▅▅▄▄▄▅▄▄▄▅▆▄▅▄▅▄▅▅▄▅▅▅▄▅▄▅▄▄▄▅▅▃▅▅▄▅▅▁▅▃▄▅▅▆▅▄▅▄▄▄▄▅▃▄▃▃▃▄▄▄▄▄▄▃▃▃█▃▃▃▃▃▄▄▄▅▄▃▃▄▅▄▄▄▄▆▄▄▃▃▄▄▄▄▄▅▄▅▅▅▅▅▅▄▄▄▄▄▄▄▄▄▄▄▅▄▄▅▅▄▅▅▅▅▅▅▅
