AdapterInfo { name: "NVIDIA GeForce RTX 4090", vendor: 4318, device: 9860, device_type: DiscreteGpu, driver: "NVIDIA", driver_info: "525.116.03", backend: Vulkan }
samples: 300
test,mean,median,min,max,plot
spiral.svg,29.43µs,29.56µs,28.61µs,34.81µs,█▃▂▁▂▅▂▂▁▁▂▃▂▂▂▂▁▁▁▁▂▃▂▁▂▂▂▂▂▂▂▂▂▁▁▁▁▁▂▂▂▂▁▁▁▂▂▂▂▂▁▁▂▁▃▁▂▂▂▂▂▂▁▂▂▂▁▁▂▂▂▁▂▂▁▁▂▂▁▁▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▁▂▁▂▂▂▂▂▁▂▂▁▂▁▂▁▂▂▂▂▂▁▂▁▂▂▂▁▁▂▂▂▂▂▂▁▂▂▁▂▂▂▂▁▂▁▁▂▁▂▂▂▁▂▂▁▁▁▂▂▂▁▂▁▂▁▂▁▁▂▂▂▁▂▂▂▂▂▁▂▁▂▂▂▂▂▂▁▂▁▂▂▂▁▂▂▂▂▂▁▂▁▂▁▂▂▁▂▂▁▂▂▁▁▁▂▂▁▂▂▁▂▂▂▁▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▁▂▂▂▂▂▁▂▂▂▁▂▂▁▂▂▂▂▁▂▂▂▁▂▂▂▂▁▂▂▁▁▁▂▂▂▂▂▂▂▁▂▁▂▂▂▂▂▂▂▂▂▂▂▁▂▂
roads.svg,32.12µs,32.66µs,29.56µs,33.86µs,▆▆▆▅▅▅▆▆▆▆▆▆▆▆▆▆▅▆▆▆▆▅▆▆▆▆▅▆█▆▆▅▅▆▅▆▆▆▆▆▆▆▅▆▅▆▆▆▅▆▆▆▆▆▆▆▆▆▆▆▅▆▅▅▅▆▆▅▅▅▆▅▆▅▆▆▆▅▆▆▅▆▆▅▆▆▆▆▅▅▆▅█▆▅▆▅▅▅▆▆▅▆▆▆▅▅▆▆▆▆▅▆▅▅▅▆▆▆▆▆▆▆▅▅▆▆▅▅▆▆▅▅▆▅▆▆▆▅▆▆▆▆▅▆▆▆▅▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▅▆▅▆▆▆▆▅▆▅▆▆▆▅▆▆▅▆▅▆▆▆▆▅▆▆▆▆▆▆▅▆▆▅▅█▆▆▅▆▆▆▆▆▆▅▆▆▆▆▆▆▅▆▅▆▅▅▆▆▆▆▅▅▆▆▅▆▅▆▆▅▅▆▆▅▅▆▆▅▆▆▆▆▆▅▃▃▃▃▃▃▁▃▁▃▃▃▁▁▁▁▃▁▁▃▃▁▁▃▁▃▁▁▁▁▃▃▁▃▃▁▁▁▁▃▁▃▃▃▃▃▃▁▁
blender.svg,23.94µs,23.60µs,23.37µs,24.80µs,▇▂▇▇▇▂▇▁▇▂▇▂▂▇▂▂▇▇▇▁▂▂▁▇▁▇▇▇▇▂▂▂▇▂▂▂▇▁▂▇▇▇▇▂▂▁▂▁▇▂▂▂▂▂▁▇▇▁▂▁▁▂▂▂▂▁▂█▂▂▂▂▂▁▂▇▂▂▂▁▇▇▂▂▂▂▂▂▂▂▇▇▇▂▁▂▂▂▁▇▇▂▂▂▇▂▂▁▁▂▇▁▂▂█▂▁▂▁▇▇▂▂▇▂▂▂▁▇▇▂▂▇▇▂▇▂▇▂▇▁▂▇▂▂▇▂▁▇▂▇▂▇▂▁▂▇▇▂▇▂▇▁▇▂▇▇▁▂▇▇▂▇▇▁█▇▇▂▂▂▂▇▂▇▇█▂▂▇▂▇▂▇▇▁▁▂▂▇▂▂▂▇▂▂▇▇▇▁▂▇▂▁█▂▂▂▇▁▇▂▂▁▇▇▁▂▂▂▁▂▁▂▂▁▂▇▇▂▂▇▇▇▂▂▁▂▇▇▂▇▇▂▂▇▂▂▂▇▇▇▇▂▇▇▂▂▂▂▁▇▁▇█▂█▇▇▂▂▇▂▂▇▇▇▂▂▂▂█▇▇▂▂▁▂▂▇
spirograph.svg,17.85µs,17.41µs,17.41µs,18.60µs,▁▇▇▇▇▁▇▁▇▁███▇▁▁▁███▇▇▁▁▇▁▁▇▁▇▁▇▁▇▁▁▁▁▁▁▁▇▁▁▁▁▇▇▇█▇▇▁▇▇▁▇▁▁▁▁▇▁▁▁▇▁█▁▁▇▇█▁▇▁▁█▂▇▁▇▇▇█▁▁▁▁▇▁▁▁▁▁▁▁▁▁▁█▁▁▁▁▁▁▁▇▁▇▁▁▁▁▁▇█▇█▁▁█▇█▁▇▁▇▁█▁█▁▁▁▁▁█▁▇▇▁▁▁▁▁██▁▁▁█▁▁▁▇██▇▁▇▁▁▇▁▁▇▇▁▁▇▁▇▁█▇▇▁▇▇█▁▁▇▁▁█▇█▁▁▁▁▁▁▇█▇▁█▁▇▁▁█▇▁▁▁▇█▇▁▁▁▁▁▁▇▁▁▇▁▁▁▁▁▇▇▁▁▇▁▁▁▁▁▁▁█▁▇▁▇▁▁▇▇▁▇▇██▁▇█▁▁▇▁▁█▁▁▁▇▇▁▁▇█▇▁▁▁▁▁▁▇▇▁▁▁█▇█▁▇▁▇▇▂█▁▁▁▇█▁
waves.svg,46.94µs,46.97µs,46.02µs,51.02µs,▅▂▂▃▁▂▃▄▁▂▁▃▃▁▃▂▂▇▃▃▃▁▃▁▃▁▃▂▁▂▁▃▃▃▇▃▁▃▃▃▁▂▂▂▁▄▃▂▁▃▁▂▂▁▃▃▃▃▁▃▁▂▃▃▁▃▃▁▂▃▂▃▂▁▃▂▃▃▃▁▃▁▁▂▂▁▂▂▂▁▃▂▃▃▃▃▃▁▁▂▃▂▂▂▂▃▂▂▁▃▃▃▃▂▂▁▂▂▁▂▃▂▂▂▃▁▂▂▂▂▃▁▃▃▃▁▃▁▃▃▃▂▂▂▃▃▂▂▃▁▁▃▃▂▂█▂▁▂▃▃▃▃▂▃▃▃▁▃▃▂▃▂▂▂▂▂▁▃▂▃▃▃▃▃▃▃▃▃▂▄▁▁▃▁▂▂▂▃▁▁▃▂▃▃▁▂▂▄▂▃▂▂▁▂▂▁▂▁▃▁▂▁▁▂▃▃▃▂▂▃▃▁▂▃▁▃▂▃▂▃▁▁▃▂▃▁▃▃▃▃▁▂▃▃▃▂▃▁▂▁▁▃▃▃▄▁▂▃▁▁▂▁▁▃▃▃▂▃▂▃▂▃▃▃▁▃▂▃▃▃▂▃▃▂▃▃▂▂▂
lorenz.svg,26.26µs,26.46µs,25.51µs,29.56µs,▃▃▁▃▁▃▁▃▁▃▃▃▃▃▁▁▃▃▁▁▃▃▃▁▁▃▃█▃▃▁▁▁▃▃▁▁▃▁▃▁▃▃▃▁▃▃▃▃▃▃▃▁▃▃▃▁▃▁▁▁▃▃▁▃▃▃▃▁▃▃▁▃▃▃▁▁▁▃▁▁▃▃▃▁▃▁▁▃▃▁▃▁▃▃▁▃▃▁▃▁▁▃▃▃▃▃▃▃▃▁▃▁▃▁▁▃▃▃▁▃▃▃▃▃▃▁▃▃▃▃▁▃▁▁▃▁▃▃▁▁▃▁▁▃▁▃▃▁▃▁▃▃▃▃▁▃▃▃▁▃▁▃▃▃▃▃▃▃▃▃▃▁▃▁▃▁▃▁▁▃▃▃▃▃▃▁▁▁▃▃▃▁▃▃▁▃▃▃▃▃▃▃▃▃▃▁▃▁▁▃▁▁▁▃▁▁▃▁▃▃▁▁▃▃▁▃▁▃▁▁▃▃▁▁▁▃▁▁▁▁▁▃▁▁▁▃▃▃▃▃▃▃▁▁▃▁▃▃▃▁▃▃▃▃▃▃▃▃▃▁▁▃▃▁▃▃▃▁▃▃▃▃▁▁▁▃▁▃▃▃▃▃▁▁▃▃▃▁▃
