AdapterInfo { name: "Apple M1 Pro", vendor: 0, device: 0, device_type: IntegratedGpu, driver: "", driver_info: "", backend: Metal }
samples: 300
test,mean,median,min,max,plot
spirograph.svg,49.11µs,26.88µs,17.83µs,737.46µs,█▂▁▁▁▁▁▁▁▁▁▁▁▁▂▂▁▁▁▁▁▂▁▁▂▁▁▁▁▂▁▁▁▁▁▂▂▁▂▂▁▁▂▁▁▂▂▂▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▂▂▂▁▁▁▁▂▂▂▁▁▁▁▁▁▁▂▂▂▁▂▁▂▂▁▁▁▁▂▁▁▁▂▁▂▁▁▂▂▁▁▂▁▁▁▂▂▂▁▁▂▂▁▁▁▁▁▁▁▂▁▂▁▂▁▁▂▁▁▁▁▂▁▁▁▁▂▁▁▁▂▂▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▂▁▂▂▁▁▁▁▂▂▁▁▂▁▁▁▁▁▁▁▁▂▁▁▁▂▁▂▂▂▁▁▁▂▁▁▁▁▂▁▁▁▂▁▁▂▁▂▁▁▁▂▁▁▁▁▁▁▁▂▂▂▂▁▂▁▁▁▂▁▁▁▁▁▁▁▁▂▁▁▁▂▁▁▂▁▂▁▁▁▁▁▂▁▁▂▁▂▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▂▂
lorenz.svg,70.77µs,69.96µs,17.33µs,1.78ms,▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
spiral.svg,60.41µs,69.04µs,16.46µs,239.33µs,▃▁▁▁▁▂▁▁▂▃▂▃▃▁▁▃▃▂▁▂▃▃▂▃▂▃▃▃▃▃▃▃▃▃▁▁▃▃▃█▃▃▃▃▃▃▃▃▃▁▃▃▃▁▁▁▃▃▃▃▁▃▃▃▃▃▁▃▃▁▁▁▃▃▂▁▃▃▃▃▁▃▁▃▃▂▁▁▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▁▃▃▃▃▃▃▁▃▃▁▃▃▃▃▁▁▃▃▃▁▁▁▁▃▃▂▃▃▃▃▃▃▁▃▃▃▃▃▃▂▃▃▁▃▃▃▃▃▃▃▃▃▃▃▁▁▃▃▃▁▃▃▃▁▁▁▃▃▂▃▃▃▃▃▃▁▃▃▁▃▃▃▁▃▃▃▃▃▁▃▃▁▃▁▃▃▂▁▁▁▃▁▃▃▃▃▃▃▁▃▃▃▃▃▃▃▃▃▃▃▃▂▃▁▁▃▃▁▃▃▁▁▁▃▃▁▃▂▃▃▃▁▃▃▂▃▃▃▃▁▃▃▃▃▃▃▃▃▃▁▃▃▃▃▃▁▁▃▃▃▂▃▃▃▃▃▃▃▃▃▂▃▁▃▂▁▃▁▃▃▁▃▁▁
blender.svg,67.13µs,71.38µs,17.58µs,204.96µs,▃▃▃▃▁▃▁▁▄▄▄▁▁▁▃▃▃▂▁▃▂▃▃▃▃▃▃▃▁▁▁▃▃▃▃▁▁▃▃▁▁▁▁▃▃▁▁▁▃▃▃▃▃▃▃▃▃▁▃▃▁▃▄▂▄▃▄▄▄▃▃▃▃▃▁▃▃▃▃▃▄▄▃▃▁▃▅▃▃▄▃▄▁▄▃▃▂▃▃▃▃▃▄▄▅▁▃▃▃▂▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▄▃▁▄▃▁▁▃▄▄▃▄▃▄▄▃▃▃▃▃▃▄▁▃▃▂▁▁▃▄▄▁▁▃▃▃▃▃▃█▃▃▃▄▁▃▃▃▃▃▂▂▃▃▃▃▃▃▃▃▃▂▃▃▃▃▃▃▁▃▃▁▁▁▁▃▃▃▃▃▃▃▃▃▁▁▃▃▃▃▃▃▃▃▃▄▄▁▃▃▃▃▃▃▃▃▁▁▁▁▃▃▃▃▃▃▃▃▃▃▃▃▃▄▃▄▄▄▁▃▃▃▃▃▃▄▃▃▁▃▃▄▃▃▃▃▃▃▃▃▃▁▄▃▅▄▄▁▃▃▁▃▃▁▃▃▃▃▃▃▄▄▁▆▁
waves.svg,277.77µs,272.17µs,12.96µs,450.42µs,█▅▃▄▄▅▄▅▄▅▅▆▅▅▅▆▇▆▆▇▆▁▆▇▅▅▅▄▅▅▅▆▆▅▅▅▆▅▅▇▆▆▆▇▇▁▅▅▄▄▅▅▅▅▅▅▅▅▄▄▅▄▅▆▆▆▆▆▆▅▆▇█▇▇▅▅▅▄▅▅▅▅▅▅▅▅▆▅▆▅▆▇▇█▇██▆▇▆▅▅▄▄▅▅▅▅▅▅▅▄▆▅▅▅▆▆▅▅▆▇▁▄▃▄▆▄▄▄▃▄▄▃▅▄▄▅▃▁▅▄▅▅▅▅▅▅▆▅▆▅▅▇▆▆▆▆▇▇▇▄▅▅▄▅▅▅▅▅▆▆▆▇▇▆▆▆▆▆█▇▅▅▄▄▅▅▄▄▅▆▅▅▆▆▆▇▆▆▆▆▆██▅▅▅▄▅▅▅▅▆▇▅▅▅▆▆▆▆▆▆▇▇▇▇▅▅▅▄▅▅▁▅▅▅▆▅▅▅▅▆▇▆▆█▇▆▃▅▅▁▅▄▄▅▅▄▅▄▅▅▅▅▅▅▅▆▆▆▆▆▇▅▅▅▄▇▅▅▅▄▅▄▇▅▃▄▅▄▄▅▃▄▄▆▅
roads.svg,201.54µs,215.17µs,31.79µs,289.21µs,▅▃▆▃▃▆▃▅▄▃▄▄▃▄▄▃▄▄▅▄▄▅▅▄▆▄▆▅▅▅▆▅▅▆▅▅▅▅▆▆▆▆▅▅▅▅▇▆▆▆▆▆▆▆▆▆▆▅▆▆▇▆▆▆▆▆▅█▆▆▆▅▇▆▆▇▆▆▆▅▅▆▆▆▅▅▅▅▅▅▆▆▆▇▆▆▅▅▆▇▆▇▆▆▆▅▅▅▆▆▆▆▅▆▆▅▅▆▆▅▆▇▆▆▅▇▅▆▆▆▇▆▆▅▆▅▅▅▆▅▆▅▅▅▆▅▆▆▆▅▅▅▅▆▅▆▅▇▆▆▅▆▅▅▅▆▅▅▆▅▅▅▆▅▅▅▅▅▆▆▅▆▅▆▅▅▆▅▅▆▅▆▅▇▆▅▅▅▅▆▆▆▅▇▇▆▆▆▆▆▅▅▇▆▆▇▆▅▆▆▅▆▆▆▆█▅▆▆▅▆▅▅▅▆▆█▅▅▆▅▅▆▅▇▆▆▇▅▅▇▆▆▆▆▅▅▅▅▅▅▁▅▆▆▆▆▆▆▅▆▅▅▆▅▆▆▆▆▆▆▆▇▆▆▆▆▅▅▆▆▇▆▆▅▅▅▆▅▆
