AdapterInfo { name: "Apple M1 Pro", vendor: 0, device: 0, device_type: IntegratedGpu, driver: "", driver_info: "", backend: Metal }
samples: 1000
test,mean,median,min,max,plot
spirograph.svg,83.50µs,83.71µs,19.71µs,869.88µs,█▁▂▁▂▁▁▂▁▂▂▂▁▁▂▁▁▂▂▁▁▁▂▁▁▂▂▂▂▂▂▁▂▂▂▂▂▂▁▁▁▂▂▁▁▁▂▁▂▁▁▁▂▁▁▁▂▁▁▂▁▂▂▂▁▂▁▂▂▂▁▂▂▁▂▂▁▁▁▂▁▂▁▂▂▂▂▂▂▁▁▂▁▂▂▂▂▁▂▁▂▂▂▂▂▂▂▂▂▁▂▂▁▂▂▂▂▁▂▂▁▂▁▁▁▂▂▂▁▂▂▁▂▁▂▂▁▂▂▂▁▂▂▁▂▂▁▂▁▂▂▁▁▂▂▁▁▂▂▂▂▁▂▂▂▁▂▂▂▂▁▁▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▁▁▂▂▁▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▁▂▁▂▁▂▁▂▂▂▂▂▂▂▂▂▁▂▂▂▂▁▂▂▂▂▂▂▁▂▂▂▂▂▂▂▁▂▂▂▁▂▂▂▂▁▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▁▂▂▂▁▂▂▁▂▂▂▁▂▂▂▂▂▁▁▂▁▂▂▂▁▂▂▂▂▂▂▁▂▂▂▂▂▁▂▂▂▂▂▁▂▂▁▂▂▂▂▂▂▂▂▂▂▂▁▁▂▂▂▂▁▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▁▂▂▂▂▁▁▁▂▂▁▂▁▂▂▂▁▁▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▁▂▂▂▂▂▂▂▂▂▂▂▁▁▂▁▂▁▂▂▂▂▂▁▂▁▂▁▁▂▂▂▁▁▂▁▁▂▂▂▂▁▂▁▁▂▂▂▁▂▂▂▂▁▂▂▂▁▂▂▂▂▂▂▂▁▁▂▂▂▁▂▂▂▁▁▂▂▂▂▂▂▂▂▂▂▂▂▁▂▁▂▂▂▂▂▂▂▂▂▂▂▂▁▂▁▂▂▂▂▂▂▂▂▂▂▁▁▂▂▂▂▂▂▂▂▂▂▂▁▂▁▂▂▁▁▂▁▂▂▁▂▁▂▂▂▂▂▂▂▁▂▂▂▂▂▂▁▂▂▂▂▂▂▁▁▂▂▁▁▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▁▂▁▂▂▂▂▂▂▂▁▁▁▂▂▂▁▁▂▁▂▁▁▁▂▂▂▂▂▁▁▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▁▁▁▂▂▂▂▂▁▁▂▂▂▂▂▂▁▁▂▂▁▂▂▂▁▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▁▁▂▂▂▂▂▁▁▂▂▂▁▁▁▂▂▂▁▁▁▁▂▁▂▂▂▂▂▂▂▂▁▂▂▂▁▁▂▂▂▂▂▁▂▂▁▂▁▂▁▁▂▂▂▂▁▁▁▂▂▂▂▂▂▁▂▂▂▁▂▂▂▂▂▂▂▁▁▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▁▁▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▁▂▂▂▂▁▂▂▂▂▂▂▂▂▁▂▂▂▂▁▂▂▂▂▁▁▂▂▂▁▂▂▁▂▁▂▁▂▂▂▂▂▁▁▂▂▂▂▂▁▁▂▁▂▁▂▁▂▂▂▂▁▁▁▁▂▂▂▂▂▂▁▂▂▁▂▂▁▁▂▂▂▂▂▂▂▂▁▂▂▂▂▂▁▁▂▂▂▁▁▂▁▁▁▁▁▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▁▂▁▂▂▂▂▁▂▂▂▂▂▁▂▁▂▂▂▂▂▂▂
lorenz.svg,87.88µs,81.46µs,14.58µs,1.72ms,▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▂▁▁▁▁▂▁▁▁▁▂▁▁▂▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▂▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▂▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
spiral.svg,78.86µs,81.46µs,18.88µs,245.08µs,▃▁▃▁▃▃▅▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▅▃▃▃▃▃▃▃▃▃▃▃▄▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▅▃▃▁▃▁▃▃▃▃▃▃▃▁▁▃▃▃▃▃▃▃▁▃▃▃▆▃▃▃▃▁▁▃▂▁▂▃▁▃▃▃▃▃▃▃▃▃▃▁▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▁▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▁▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▁▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▁▃█▃▅▂▃▃▃▃▃▁▃▃▃▃▆▃▃▃▃▃▁▃▂▃▃▃▃▃▃▃▃▁▃▃▃▃▃▃▂▃▅▃▃▃▃▃▃▁▃▃▃▃▃▄▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▅▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▄▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▁▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▁▃▄▃▃▃▃▃▃▃▃▃▃▃▃▃▃▁▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▂▃▃▃▃▃▃▃▃▃▃▁▃▃▃▃▃▁▂▃▃▃▃▃▂▃▃▃▁▃▄▃▃▃▃▃▃▁▃▃▃▃▆▃▃▃▃▁▃▃▃▃▃▂▃▁▃▁▃▃▃▁▃▃▁▄▄▃▁▁▃▁▃▁▃▁▃▁▄▁▄▁▁▁▃▁▁▁▁▄▂▄▃▄▄▄▃▄▃▁▃▃▃▃▃▂▃▃▄▃▁▃▃▃▃▃▃▃▃▃▃▃▆▃▃▃▃▃▁▃▃▃▂▃▃▃▄▃▃▃▁▃▃▃▃▄▄▃▄▃▃▃▁▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▁▁▃▃▃▆▁▁▂▂▃▃▄▃▃▃▃▃▁▄▃▁▂▁▃▃▃▁▄▁▃▁▁▃▁▃▃▁▃▁▁▁▂▁▃▃▃▃▁▃▃▁▃▄▃▁▃▃▃▃▃▃▁▄▃▃▁▄▁▁▃▃▃▄▄▄▃▃▃▄▃▂▄▃▃▃▄▃▃▄▃▄▃▃▃▃▃▅▃▄▃▃▃▁▃▃▄▄▄▁▃▃▃▃▃▃▃▄▄▄▄▃▃▄▄▄▄▃▁▃▃▃▃▃▃▁▄▃▃▄▃▃▃▃▃▃▃▃▄▃▃▃▃▃▃▃▁▃▃▂▁▃▃▃▃▃▃▃▃▃▁▃▃▃▃▃▁▃▁▃▁▃▁▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▁▃▆▃▁▃▁
blender.svg,83.17µs,83.21µs,20.88µs,157.00µs,▄▄▄▄▄▄▄▅▄▄▄▄▄▄▄▄▄▄▄▅▄▁▆▆▄▄▄▄▄▄▄▄▄▄▅▄▄▄▄▄▄▄▄▄▄▄▄▄▇▄▅▄▅▄▄▄▄▄▄▄▄▄▄▄▄▄▅▄▄▄▄▅▄▄▄▄▄▄▄▄▄▄▅▄▄▄▄▄▅▅▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▇▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▅▆▂▄▄▄▄▄▅▄▅▄▄▄▄▄▄▄▄▅▄▄▄▄▄▄▄▄▄▅▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▅▄▄▄▄▄▅▄▄▄▄▄▄▄▄▅▄▄▄▄▅▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▅▄▄▁▄▄▄▄▅▄▄▄▄▄▄▄▄▄▄▄▄▅▄▄▄▄▄▄▄▄▇▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▅▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▅▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▅▄▅▄▄▄▇▄▄▄▄▅▄▄▄▄▄▄▄▄▄▄▄▅▄▄▄▄▅▄▇▄▁▆▄▄▄▄▄▄▄▅▄▁▄▄▄▄▄▄█▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▅▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▅▄▄▄▄▄▅▄▄▆▄▅▄▄▄▄▄▂▄▄▄▄▄▄▄▄▄▄▄▄▅▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▅▄▄▄▄▄▄▄▄▄▄▄▅▄▄▄▄▄▇▄▄▄▄▄▄▄▄▄▄▅▄▄▅▄▆█▅▄▄▄▄▄▅▄▄▄▄▄▄▄▄▅▄▄▄▄▄▄▄▄▇▄▄▄▄▄▄▄▄▄▄▅▄▄▄▄▁▄▄▁▄▄▄▄▄▄▄▄▄▄▁▄▄▄▄▄▇▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▇▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▁▄▄▄▄▄▄▄▄▄▄▄▄▅▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▅▄▄▄▄▄▄▄▄▄▅▄▄▅▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▅▄▄▄▂▄▄▄▄▄▄▆▄▁▄▄▄▄▅▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄█▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▂▅▄▁▄▄▄▄▄▄▄▄▄▄▄▄▄▅▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▇▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▅▅▄▄▄▄▄▄▄▄▁▄▄▇▄▃▄▃▃▃▄▄▁▄▄▂▄▅▄▄▄▃▅▄▃▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▅▄▇▄▄▄▄▄▄▄▄▄▄▄
waves.svg,201.07µs,207.96µs,23.71µs,427.00µs,▆▄▃▃▄▃▅▄▅▅▅▅▄▄▄▅▅▄▅▅▄▆▄▇▅▄▅▅▅▅▅▄▆▆█▄▆▄▄▄▁▅▃▃▃▄▄▄▃▅▃▃▃▄▃▁▃▃▃▃▄▅▅▅▄▅▄▅▄▅▅▅▅▅▅▅▅▆▅▅▅▅▅▁▅▅▅▅▅▄▄▄▅▄▅▅▅▅▅▅▅▅▅▄▄▅▄▅▄▅▄▅▄▅▄▅▅▄▅▄▅▄▄▄▃▅▄▅▃▅▅▅▅▅▄▅▄▄▄▆▄▅▃▆▄▆▅▆▄▆▅▅▄▅▅▅▅▆▅▅▄▅▄▅▄▅▄▃▄▃▄▃▃▃▄▃▃▃▃▃▃▃▃▃▄▃▃▄▃▃▁▃▃▃▄▃▅▃▄▃▄▄▃▄▃▃▄▃▅▃▄▃▄▃▄▃▄▃▃▄▃▃▄▃▄▃▃▃▃▃▃▅▃▃▃▄▃▄▃▃▄▃▄▃▁▃▄▃▄▃▄▃▄▃▄▄▅▄▁▅▁▄▄▄▅▄▅▅▄▅▄▅▄▅▃▅▃▅▃▄▄▅▄▃▁▆▃▄▅▄▄▅▅▃▄▅▄▅▄▅▄▄▄▄▄▅▄▅▄▃▅▄▅▃▅▄▄▄▅▅▅▄▄▆▄▅▄▄▄▄▄▃▃▃▁▃▃▃▃▃▂▃▃▂▂▂▂▂▂▂▃▃▂▃▂▂▂▂▂▂▃▂▃▃▂▂▃▂▂▃▂▂▄▂▂▃▂▄▄▃▂▃▃▃▂▃▃▂▂▃▃▂▂▃▂▃▃▂▃▄▂▃▃▂▃▄▂▁▂▄▂▃▂▃▃▂▂▄▂▂▃▃▂▃▃▃▃▂▄▃▃▅▃▃▄▃▄▃▄▃▃▅▃▅▅▄▅▄▅▄▅▅▅▆▄▄▅▄▅▅▅▃▄▅▃▁▄▃▃▃▄▃▃▃▄▃▅▃▃▄▄▃▄▄▃▃▃▄▃▁▄▄▄▅▄▅▄▆▃▅▄▅▄▄▅▄▅▄▅▄▅▄▅▄▅▅▃▅▄▅▄▅▄▅▄▄▄▅▄▅▄▆▄▅▄▅▅▅▅▅▅▅▆▄▆▅▅▅▄▅▅▄▅▃▅▃▅▅▅▅▅▄▅▄▅▅▅▄▅▃▅▄▄▄▃▄▅▅▅▅▅▅▅▅▄▄▄▅▄▄▃▃▄▄▄▄▄▅▅▅▅▅▅▅▆▅▅▅▃▃▅▃▄▃▄▃▄▃▅▄▄▄▅▅▅▅▄▄▄▁▁▁▅▄▁▃▁▄▁▄▄▄▇▃▃▃▄▄▄▃▄▃▁▄▃▄▄▃▃▃▃▄▃▃▄▃▃▄▃▄▃▄▄▅▄▅▃▄▅▅▅▅▆▄▄▅▄▅▄▅▁▅▄▅▄▅▅▄▅▄▅▁▅▄▅▅▅▅▅▅▅▅▄▅▅▅▅▅▄▁▅▅▄▄▄▅▅▅▅▅▅▅▅▆▅▅▅▅▅▅▆▃▄▄▄▅▆▅▅▃▅▄▅▄▅▄▅▅▅▄▄▅▄▅▅▅▄▅▅▅▅▅▅▅▆▅▅▄▅▄▅▄▅▄▅▄▅▄▄▅▅▅▅▆▅▅▄▅▅▁▄▆▅▅▅▄▅▅▄▄▄▅▄▅▅▅▆▆▄▄▃▃▄▃▃▃▄▄▃▃▃▄▃▄▄▃▃▃▃▄▄▃▅▅▅▆▅▄▅▅▅▄▅▄▅▄▅▄▅▆▆▅▅▄▄▄▅▅▅▅▆▅▃▅▅▄▅▄▅▄▅▅▅▅▅▅▄▅▄▅▄▅▅▅▅▅▆▃▅▁▁▃▅▁▅▁▄▄▆▅▅▅▅▅▅▄▅▅▅▄▅▄▅▅▄▄▅▁▄▅▅▄▃▅▄▅▅▅▃▅▅▃▄▃▄▄▅▄▅▅▅▅▅▄▅▅▅▅▄▃▅▄▅▅▅▅▅▅▅▅▄▅▄▅▅▅▅▄▆▅▄▅▄▅▄▄▄▄▅▅▅▅▄▅▄▅▄▃▄▅
roads.svg,178.64µs,176.46µs,20.17µs,279.79µs,▄▅▅▄▃▅▅▄▅▅▆▆▆▅▆▆▆▆▄▅▆▇▄▆▄▆▆▆▆▄▅▄▅▄▅▆▆▅▄▅▆▅▅▆▅▆▆▅▅▆▆▆▆▅▄▅▅▅▅▁▅▅▆▄▅▅▅▅▅▆▆▄▄▅▄▅▇▅▅▆▆▅▅▄▅▄▆▆▅▅▆▅▅▅▅▆▆▆▅▅▅▅▅▅█▄▆▆▅▅▄▅▄▅▅▆▄▅▅▆▄▅▅▆▆▆▇▆▆▆▄▅▄▅▄▆▆▆▄▆▄▆▄▆▄▆▅▆▆▆▄▆▅▆▆▆▅▆▆▄▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▅▆▆▆▆▆▆▆▅▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▄▅▆▆▆▆▆▆▆▆▆▆▆▆▇▅▆▆▆▆▅▅▇▆▆▆▅▅▅▅▆▆▅▅▆▆▅▅▅▆▆▆▇▆▆▅▅▅▆▅▅▅▆▆▅▅▅▅▅▄▅▆▆▄▅▅▅▅▅▅▅▅▅▅▆▆▅▄▅▅▄▅▄▅▆▆▆▆▆▆▆▆▆▆▆▄▇▄▅▆▆▅▅▅▇▆▆▅▄▅▅▅▄▆▄▅▆▅▅▅▅▆▅▅▆▅▅█▆▆▅▅▅▆▆▆▅▅▇▄▄▅▅▅▅▅▆▆▅▄▅▆▅▄▆▄▇▅▅▄▅▅▅▅▆▆▆▅▅▅▄▄▄▅▅▆▆▆▆▅▅▅▆▆▅▄▅▇▆▆▄▅▅▆▅▅▅▇▆▆▆▅▅▇▆▆▆▅▇▅▆▆▆▅▅▆▅▅▅▁▆▆▅▆▆▆▆▇▅▅▅▆▅▅▅▆▆▅▇▆▆▅▇▅▅▄▅▅▅▅▅▅▆▆▅▅▅▆▅▅▅▅▄▆▅▅▄▅▇▆▆▄▅▅▅▄▅▅▅▅▄▆▄▅▅▅▄█▅▅▆▆▆▆▆▄▅▅▆▄▅▅▅▄▆▆▆▅▄▅▆▆▆▆▅▅▆▄▆▅▆▅▅▅▄▆▄▅▅▄▆▅▅▅▅▆▅▅▅▅▆▆▅▅▅▅▅▅▅▅▆▄▆▆▅▅▅▅▆▅▅▄▅▆▅▆▆▅▅▆▅▅▅▅▆▄▆▆▆▆▆▄▆▄▆▄▆▄▆▆▆▆▆▆▆▆▅▆▅▆▆▆▆▆▄▆▄▆▆▆▆▄▆▆▆▅▆▆▅▆▄▆▆▄▅▆▅▆▆▄▆▆▄▄▆▆▆▅▅▆▅▆▄▅▆▄▆▅▆▆▆▆▆▆▄▆▆▅▆▆▅▄▇▆▆▆▆▄▆▅▆▄▆▅▆▆▆▄▆▇▆▆▆▄▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▆▄▂▃▃▂▁▃▄▄▃▄▄▅▃▃▃▃▄▁▃▄▃▃▄▃▄▄▅▅▄▄▄▆▄▅▆▆▆▆▆▆▆▄▁▆▆▆▆▆▆▆▆▆▆▆▆▆▆▅▆▆▆▄▆▄▆▆▆▆▅▆▆▆▇▆▆▆▆▆▆▆▆▆▅▆▆▆▆▆▇▆▆▆▅▇▅▆▆▄▅▆▆▆▅▆▄▆▄▆▅▆▅▅▆▄▆▄▆▆▅▆▆▆▅▆▆▆▅▆▁▆▆▆▆▆▆▆▅▅▆▅▆▆▆▅▅▅▆▆▆▅█▅▆▆▄▆▆▆▄▅▂▆▆▆▅▅▅▆▆▆▄▅▅▅▆▆▆▆▅▇▆▆▁▄▅▆▅▅▆▆▅▄▄▆▅▄▅▇▄▆▄▅▅▅▄▆▄▅▅▅▅▅▆▆▄▅▅▆▅▅▅▇▆▆▆▆▄▅▅▅▆▆▆▅▅▅▅▆▅▅▅▆▅▅▅▅▆▆▄▄▅▆▅▅▅▂▅▆▆▄▅▅▅▇▆▆▆▅▅▆▆▄▅▅▅▅▅▄▅▁▄▆▅▅▅█▅▄▅▅▅▅
