AdapterInfo { name: "Apple M1 Pro", vendor: 0, device: 0, device_type: IntegratedGpu, driver: "", driver_info: "", backend: Metal }
samples: 1000
test,mean,median,min,max,plot
spirograph.svg,70.53µs,78.13µs,15.54µs,947.17µs,█▁▁▂▁▁▂▂▂▂▂▁▁▂▂▁▂▁▂▁▂▁▂▁▁▂▂▁▁▂▂▁▁▁▁▁▂▂▂▂▂▂▂▂▂▂▂▁▁▁▁▂▁▂▁▁▂▂▁▁▁▂▂▂▂▂▂▁▂▁▂▂▂▂▁▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▂▂▂▂▁▁▁▁▁▁▁▁▁▁▁▁▂▁▂▁▂▁▁▁▁▁▁▁▁▂▁▂▁▂▁▁▁▂▁▂▂▁▁▂▁▂▂▁▁▁▂▂▂▂▁▁▁▁▁▂▁▁▁▁▂▁▂▁▁▁▁▂▂▂▁▂▂▂▁▁▁▂▂▂▁▂▂▁▂▂▂▁▁▁▂▁▁▂▂▁▁▁▂▂▁▁▂▁▂▂▁▁▁▂▂▂▁▁▂▂▂▂▂▁▂▂▁▁▁▂▁▂▁▁▁▁▁▁▁▁▁▂▂▁▁▂▂▂▁▂▁▂▂▃▁▁▂▂▁▂▂▁▂▁▁▁▁▁▁▁▂▁▁▁▁▂▁▂▁▁▂▁▂▂▁▁▂▂▂▁▁▁▂▂▂▂▁▁▂▁▁▂▁▂▁▁▂▁▁▂▂▂▁▁▂▁▁▁▁▁▁▂▂▂▂▁▁▁▂▂▂▁▂▂▁▁▁▁▁▁▂▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▂▂▁▁▁▁▁▂▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▂▂▂▂▂▂▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▂▂▁▁▂▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▂▁▂▁▁▁▁▁▁▁▂▁▂▁▁▂▁▁▂▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▂▁▁▁▁▁▂▁▁▂▁▁▁▁▂▂▁▁▁▁▁▁▂▁▁▁▁▁▂▁▁▂▁▂▂▂▁▂▁▁▁▁▁▁▁▁▂▁▁▁▂▁▁▁▁▁▂▁▁▂▁▁▁▂▁▁▂▂▂▁▁▁▁▂▂▁▁▁▂▂▁▂▂▁▁▂▂▂▂▂▁▁▁▂▂▂▂▁▁▂▁▂▂▂▁▂▂▂▁▁▂▁▁▁▂▁▂▁▂▂▂▁▂▂▂▂▁▂▂▁▂▁▁▁▂▂▂▁▂▁▂▁▂▁▂▂▁▂▂▂▂▂▂▂▂▁▂▃▂▂▂▂▂▂▁▂▂▁▁▁▂▂▂▂▁▂▁▂▁▁▁▂▂▁▁▂▂▁▂▂▁▁▂▂▂▂▂▁▁▁▂▂▁▁▂▂▁▂▁▁▁▁▁▁▂▁▂▁▂▁▂▂▂▁▂▂▂▁▂▂▁▁▁▁▁▁▁▂▂▁▂▂▁▂▁▂▂▁▂▂▁▁▁▁▁▁▁▁▂▁▂▁▁▁▁▁▁▁▁▂▁▁▂▂▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▂▂▁▁▂▁▁▁▂▂▁▂▁▁▁▂▁▂▁▁▁▂▂▂▁▂▁▂▂▁▁▁▁▁▁▁▂▁▁▁▂▁▁▁▂▂▂▁▂▁▁▁▁▁▂▂▁▂▁▁▁▁▁▁▁▁▂▁▂▁▁▁▁▁▁▂▁▂▁▂▁▂▁▁▁▁▂▁▂▁▁▁▂▁▁▁▁▁▂▂▁▁▂▁▁▁▁▁▁▂▁▂▁▁▂▂▁▂▁▁▁▁▁▂▁▂▁▁
lorenz.svg,86.16µs,80.71µs,14.21µs,309.83µs,▂▃▃▁▃▁▃▃▁▁▁▁▂▃▃▃▃▃▁▃▂▃▁▃▂▁▁▃▂▄▂▃▃▃▂▂▂▂▃▃▂▂▃▂▃▃▂▂▃▂▂▂▃▂▂▃▂▂▁▂▃▃▃▂▃▃▂▂▂▁▂▂▂▂▄▃▂▂▃▂█▃▆▃▂▂▃▃▂▃▃▂▃▃▂▃▂▃▂▃▃▃▃▃▄▂▃▃▂▂▂▂▂▂▂▂▂▂▂▂▃▂▂▁▃▄▂▂▂▃▁▂▂▂▂▂▂▃▂▂▂▂▂▄▂▂▂▂▂▃▂▃▂▂▂▂▂▃▃▃▂▃▃▃▃▂▃▃▂▃▃▂▃▂▃▃▂▂▂▃▃▃▃▄▃▃▂▂▂▂▂▂▃▂▂▂▂▃▂▃▃▂▃▂▂▃▃▂▃▂▆▃▄▃▁▂▃▃▂▂▃▃▃▂▂▃▃▃▃▃▃▂▂▁▃▃▂▂▃▃▂▃▂▂▃▃▂▂▃▃▂▃▂▂▃▃▂▂▃▁▁▂▃▃▂▃▃▄▃▂▄▃▄▇▂▂▃▂▂▂▁▂▂▂▂▂▁▂▂▂▂▃▃▃▁▂▂▃▂▂▂▃▂▂▂▂▂▂▃▃▄▂▂▂▂▃▃▃▄▃▂▃▂▃▂▃▃▃▅▅▅▃▃▃▃▃▂▃▃▃▃▃▃▃▃▃▃▂▂▃▂▃▃▃▃▂▃▃▃▃▃▃▂▃▂▃▃▂▃▃▃▃▃▂▃▃▃▃▃▂▃▃▂▃▃▃▂▃▃▃▂▃▃▃▃▃▃▃▂▃▃▄▃▃▃▃▃▃▃▁▃▃▃▃▃▃▃▃▄▂▁▃▃▂▃▃▃▃▃▃▂▂▂▃▃▃▃▃▃▂▂▃▃▃▃▂▃▃▃▃▂▃▃▃▃▃▃▂▂▃▃▄▂▂▂▃▂▃▂▃▁▃▂▂▂▃▂▃▃▂▂▂▂▂▃▄▃▄▂▄▃▃▃▃▂▃▂▂▃▃▂▂▃▂▃▃▃▃▂▄▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▂▃▃▃▃▃▂▃▃▃▂▂▃▄▃▃▂▃▃▃▃▃▃▃▃▃▃▃▃▃▃▁▃▃▃▃▃▄▃▄▃▃▃▃▃▃▂▇▁▃▅▃▃▃▁▂▁▃▃▂▃▃▃▃▃▃▂▃▃▃▃▂▄▃▃▂▁▃▃▄▁▃▃▃▁▃▃▃▃▃▃▃▃▃▂▂▃▁▂▁▁▂▂▂▂▃▂▃▂▃▂▃▂▃▂▃▃▃▃▃▃▃▂▃▃▃▃▃▃▂▃▃▃▃▃▃▃▃▃▃▂▃▃▃▃▃▃▃▃▃▃▃▃▂▃▂▃▂▃▃▃▃▂▄▃▃▃▆▃▆▃▃▃▃▇▃▃█▃▃▂▃▃▃▃▁▃▂▂▄▆▃▂▄▃▃▃▂▄▄▂▃▂▃▃▂▃▂▃▃▃▂▃▃▃▃▃▅▃▃▃▃▃▂▄▃▃▃▃▂▂▃▂▃▂▃▂▂▃▃▃▃▃▆▃▂▃▂▂▃▃▄▃▃▂▃▃▃▃▃▃▄▃▃▁▃▃▂▃▃▂▃▃▃▂▂▃▃▃▃▃▂▃▃▃▃▃▂▃▃▂▃▃▃▃▃▂▃▃▃▃▃▃▃▂▃▂▁▄▃▂▃▃▂▃▆▆▆▃▃▃▃▁▃▃▂▃▃▃▂▃▃▃▃▃▃▃▂▃▃▃▂▂▂▃▃▃▆▃▃▃▃▃▃▂▃▁▃▂▃▃▃▃▃▃▃▃▂▁▃▃▃▃▃▃▃▃▃▃▂▃▃▃▂▃▄▂▃▃▄▂▂▃▃▃▃▃▃▃▃▃▂▁▃▃▃▂▄▃▂▂▃▃▃▂▂▃▃▂▂▃▃▂▃▂▂▃▃▂▂▃▂▂▃▁▄▂▂▃▃▂▂▂▃▂▃▂▂▂▃▃▃▃▃▄▄▃▃▂▃▃▃▂▆▃▁▃▄▄▂▄▃▂
spiral.svg,80.58µs,81.33µs,17.88µs,342.04µs,▂▂▂▂▁▂▂▃▃▁▃▃▁▃▁▁▃▃▃▂▃▃▂▃▃▃▃▂▃▂▃▁▂▂▂▂▂▂▂▂▂▃▂▂▂▁▃▂▃▁▂▂▂▂▂▂▃▁▂▂▂▂▂▂▂▁▂▂▄▂▃▂▂▂▂▂▂▂▂▂▂▂▃▃▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▃▂▂▂▂▂▂▂▂▂▂▂▂▂▂▃▂▁▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▃▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▃▂▂▂▂▂▂▂▃▃▂▃▂▂▂▂▂▂▂▂▂▂▂▃▂▂▂▂▂▂▂▂▃▂▂▂▂▂▂▂▂▂▂▄▂▃▂▃▃▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▃▂▂▂▂▂▂▂▂▃▂▂▃▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▃▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▃▃▂▂▂▂▂▂▂▂▂▂▃▂▂▃▂▂▂▂▂▂▂▂▂▂▃▂▂▂▂▂▂▂▂▂▂▃▂▂▂▂▂▂▂▂▄▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▁▂▂▂▃▂▂▂▃▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▃▁▂▃▂▂▂▃▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▃▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▃▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▃▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▃▂▂▃▂▂▂▂▂▂▂▃▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▃▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▃▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▃▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▄▂▂▂▂▂█▂▂▂▂▂▃▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▃▂▂▂▂▂▂▃▂▂▂▁▂▂▂▂▂▂▃▂▂▁▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▁▁▂▂▂▂▂▂▁▂▂▂▁▂▂▂▂▂▂▂▃▂▂▂▂▂▂▂▂▂▂▂▂▃▂▂▂▂▂▃▂▂▃▂▂▂▃▂▂▂▃▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▁▂▁▂▂▂▂▂▂▃▂▂▂▂▂▂▂▂▃▂▂▂▂▃▂▂▂▂▂▂▂▂▂▂▂▃▂▂▂▂▂▂▂▂▂▂▂▄▂▂▂▂▃▂▂▂▄▂▂▂▂▂▂▂▂▄▂▂▂▂▂▂▂▁▂▂▂▂▂▃▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▃▂▃▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▃▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▁▂▃▁▃▂▂▂▂▄▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▃▂▂▂▁▂▂▂▃▂▂▂▃▂▂▂▃▂▂▂▂▂▂▂▂▂▃▃▂▂▂▂▂
blender.svg,79.00µs,81.63µs,19.79µs,144.83µs,▄▅▄▅▁▁▅▄▄▄▄▄▄▅▄▄▄▄▄▄▄▄▄▄▄▄▄▅▄▄▅▅▄▄▅▅▅▅▅▄▅▅▅▄▄▅▄▄▄▄▄▄▄▄▄▅▄▅▄▄▅▅▄▄▄▄▅▄▄▄▅▄▅▄▅▅▄▅▅▄▄▄▂▄▅▅▅▄▄▄▄▄▅▄▅▄▅▅▄▅▄▅▄▄▄▅▅▄▄▅▅▅▅▅▅▄▄▅▄▅▄▅▄▄▄▅▄▅▄▄▅▅▅▄▅▄▅█▄▅▅▄▄▅▄▄▅▄▄▄▅▄▅▅▄▅▄▄▅▄▄▄▅▅▅▄▄▅▄▅▅▄▅▅▅▄▄▅▄▄▄▄▅▄▄▄▄▅▅▅▅▅▄▅▄▅▄▄▄▅▄▅▅▅▅▂▄▄▄▅▅▅▄▄▅▅▄▇▅▅▅▅▄▅▄▄▅▄▅▅▄▅▅▄▄▄▄▄▄▄▄▅▅▄▄▄▅▄▄▄▅▄▄▄▄▄▅▅▄▅▅▅▄▅▅▄▅▅▄▄▅▄▄▄▄▅▄▅▄▄▅▅▄▅▄▄▄▄▄▅▅▄▅▄▅▅▄▄▅▅▄▄▄▅▅▄▅▅▄▄▄▄▄▄▄▄▄▂▄▄▄▄▅▅▁▇▅▄▅▄▄▅▄▅▄▄▅▅▅▅█▅▄▄▅▄▄▅▅▄▅▅▄▅▄▅▅▄▅▅▅▄▄▄▄▅▂▅▄▅▄▅▅▄▅▄▄▄▅▅▄▅▅▄▄▅▅▄▅▄▄▄▄▄▄▅▅▄▅▄▄▄▅▅▅▅▅▅▄▄▅▄▄▄▅▄▄▅▄▄▅▄▄▅▅▅▄▅▄▅▅▅▅▅▄▄▄▄▅▅▄▅▄▅▄▄▅▄▄▄▄▄▄▄▄▅▅▄▅▄▄▅▄▅▅▅▅▅▅▄▅▄▄▄▅▄▄▄▅▄▅▅▄▄▅▄▅▄▄▅▅▅▅▅▄▅▅█▄▅▅▄▄▅▄▅▅▅▄▅▅▄▄▅▅▅▄▄▅▄▄▅▄▄▄▄▅▅▅▅▅▅▅▅▅▅▄▄▅▁▆▃▆▄▄▄▅▅▄▅▄▄▄▄▄▅▄▅▅▄▄▄▄▄▄▄▅▅▅▅▅▄▄▅▄▄▅▅▅▅▄▅▅▅▄▄▅▄▄▅▅▅▄▅▅▅▄▅▅▁▅▄▄▄▅▅▅▅▅▄▅▅▅▅▄▄▅▅▄▅▅▅▅▅▅▅▄▅▅▅▅▅▄▅▄▅▅▄▅▄▅▅▅▄▄▅▅▄▅▄▄▄▄▄▄▄▄▅▄▅▄▄▄▄▄▅▅▄▄▅▅▅▅▄▄▄▄▄▅▄▅▄█▄▄▅▅▅▄▅▄▅▄▄▄▄▄▅▄▄▄▅▄▄▅▅▄▄▄▄▅▄█▄▄▄▄▄▄▅▄▄▅▄▄▄▅▅▄▄▄▄▅▅▄▅▅▄▄▅▄▅▅▄▄▄▄▄▅▄▄▅▄▅▄▅▅▄▄▄█▅▁▃▄▄▅▅▁▄▅▄▄▄▄▄▅▄▄▅▄▅▄▄▄▄▄▅▅▄▄▄▄▄▅▄▄▄▅▅▄▄▄▄▅▄▅▄▅▄▅▄▅▄▅▄▅▄▄▄▄▅▄▄▄▅▅▄▅▅▅▄▄▅▅▅▄▄▅▄▅▄▄▅▄▅▅▅▄▅▅▅▅▅▅▄▄▅▄▄▄▄▄▄▅▅▅▄▄▅▅▅▅▅▅▅▄▅▄▄▄▄▅▄▄▄▄▆▆▅▅▂▄▃▆▁▁▄▁▁▆▆▂▁▁▄▁▂▁▁▄▁▄▄▂▁▆▁▁▄▁▆▄▁▄▄▄▆▁▃▃▄▁▄▆▅▅▂▄▄▂▄▁▄▄▁▂▁▁▁▁▁▄▄▄▁▄▄▅▂▄▄▁▁▁▄▁▄▄▆▃▁▁▄▅▂▁▁▁▁▂▄▂▁▅▁▆▁▅▆▄▁▅▄▁▁▅▁▄▄
waves.svg,265.16µs,264.79µs,15.42µs,471.29µs,█▅▁▄▄▄▅▄▅▄▄▄▄▄▄▁▅▅▄▅▅▅▅▅▅▅▅▄▅▆▆▆▅▅▅▅▅▅▆▅▅▅▆▅▅▅▅▅▅▆▅▅▆▄▇▅▅▅▆▅▄▆▄▅▄▅▆▅▆▄▅▄▄▆▄▄▅▄▅▄▅▄▄▅▄▅▄▅▄▅▄▄▅▄▅▄▆▅▆▆▅▅▅█▅▆▆▆▆▆▆▅▅▅▆▅▅▄▅▁▆▅▆▅▅▅▆▁▆▅▅▅▆▅▆▅▆▅▅▅▁▆▅▆▅▆▅▆▅▅▅▅▅▅▅▅▅▅▅▅▅▅▆▆▅▆▆▅▅▄▄▆▅▆▅▆▅▆▅▆▅▆▅▆▅▆▅▄▅▄▅▄▅▄▆▅▆▅▆▅▆▅▆▅▆▅▅▅▅▅▅▄▅▅▆▅▆▅▆▅▆▅▅▅▆▅▅▅▆▆▅▅▅▆▅▅▅▅▄▅▄▅▄▅▄▅▄▆▄▅▅▅▅▇▅▅▅▅▆▇▆▆▅▆▆▆▅▅▅▆▅▅▆▅▅▅▅▅▆▆▆▅▅▆▅▅▇▆▅▄▅▅▆▅▆▆▆▆▆▅▅▄▅▄▄▅▄▄▆▇▆▄▄▃▆▄▅▄▄▅▄▅▄▄▄▃▄▄▁▅▄▅▅▅▄▅▄▅▅▅▄▅▄▆▅▆▅▆▅▆▅▆▆▆▄▅▄▅▄▄▅▃▄▄▅▄▅▄▅▄▆▄▆▄▆▅▅▅▅▅▅▆▅▆▆▆▅▅▅▅▄▅▄▅▄▅▄▅▄▅▄▅▄▅▄▅▄▅▄▅▅▆▅▆▅▆▅▅▄▅▅▅▅▅▆▆▅▆▆▅▆▅▅▅▆▅▄▅▁▆▁▆▁▆▅▅▅▆▆▅▆▅▅▅▆▆▅▅▅▆▆▅▆▆▅▆▆▄▁▅▅▆▅▄▅▅▆▅▆▅▄▅▄▅▅▅▆▄▁▄▄▄▅▄▄▅▄▅▄▅▅▄▅▄▅▄▅▄▅▄▅▄▅▄▅▄▅▄▅▄▅▄▄▄▄▄▅▄▅▄▅▄▅▄▅▄▅▄▅▅▅▅▄▄▆▆▆▆▆▅▅▅▅▅▆▆▆▆▅▇▄▅▅▅▆▅▁▄▅▃▅▄▄▅▄▅▄▅▁▅▄▅▄▅▄▅▄▅▁▅▁▅▄▁▄▁▄▄▆▅▅▅▅▅▄▄▅▅▆▅▆▅▅▆▆▅▅▁▆▅▆▅▆▆▄▅▆▆▅▅▅▅▅▆▅▆▅▄▄▅▅▆▅▅▅▅▅▅▅▅▅▅▅▅▅▅▄▅▄▅▄▄▄▅▄▅▄▅▅▆▅▆▅▆▅▅▇▄▄▆▄▆▄▅▆▄▆▆▅▆▅▅▄▅▆▆▅▆▆▅▆▆▆▅▅▆▄▅▆▅▆▅▆▆▅▄▅▄▅▁▅▁▅▅▅▅▄▄▄▁▅▁▅▅▄▅▁▅▄▅▁▄▄▄▄▃▄▅▄▅▄▅▄▅▄▅▅▅▅▅▄▆▅▆▆▆▅▆▅▆▅▅▅▅▆▆▆▆▆▅▅▅▆▆▆▅▆▅▆▆▅▅▅▅▅▅▅▅▅▅▄▅▄▅▆▅▆▆▅▆▄▅▄▅▅▇▄▅▄▅▄▅▄▅▄▄▄▅▄▅▄▅▄▄▄▄▃▅▄▃▄▃▃▃▅▃▃▃▄▃▅▄▃▇▃▅▄▅▅▃▅▅▅▄▅▄▅▅▆▅▆▅▆▅▅▇▆▆▅▅▆▆▅▄▆▅▅▁▅▄▅▄▅▄▅▄▄▄▄▃▄▄▃▄▄▄▄▄▄▄▆▄▆▄▆▆▄▆▅▆▅▆▅▆▅▆▅▅▅▄▅▅▆▅▆▅▆▅▅▅▆▆▅▅▁▆▅▆▅▅▁▆▅▆▆▅▆▁▅▄▅▄▅▅▅▅▆▅▅▅▆▅▄▅▅▅▅▆▅▆▅▆▆▆▅▅▅▅▅▅▅▅▆▅▆▅▆▆▁▅
roads.svg,253.00µs,250.83µs,15.33µs,513.13µs,▃▃▄▃▃▃▃▄▃▄▄▄▄▄▄▄▄▄▄▄▄▄▄▅▄▅▄▅▄▅▄▅▄▅▅▅▄▄▄▅▅▄▄▃▅▄▅▄▄▄▅▅▄▄▅▅▄▄▄▅▄▄▅▆▅▅▄▄▅▅▅▄▄▄▅▄▄▅▅▄▄▅▅▄▄▅▅▄▅▅▅▅▄▄▄▄▅▄▄▄▅▄▄▁▅▅▅▄▄▅▅▄▄▅▅▄▄▄▅▅▄▄▄▅▅▅▄▄▄▅▅▅▁▄▃▃▃▃▂▃▂▂▃▂▂▂▃▃▂▃▃▃▃▄▄▄▃▄▄▄▄▄▄▄▆▄▅▅▄▄▄▄▅▄▅▅▄▅▅▄▄▅▅▅▄▄▄▆▄▅▅▄▄▅▄▄▄▁▅▅▄▄▅▅▄▅▄▅▅▄▄▄▅▅▅▅▄▄▄▅▅▅▁▅▄▅▄▅▄▅▅▅▅▅▄▅▄▅▄▅▄▅▆▅▄▅▅▅▅▅▄▄▄▅▅▅▄▄▅▅▄▄▅▄▅▅▄▄▅▅▄▅▅▅▄▁▅▅▅▄▄▄▅▅▅▄▄▄▅▅▅▅▄▄▅▅▅▄▄▄▅▅▅▄▄▄▅▅▅▄▄▅▅▄▄▅▄▅▆▄▅▅▅▄▄▅▅▄▄▄▅▅▅▄▄▄▅▅▄▄▆▅▄▄▅▅▄▅▅▅▅▄▄▃▃▅▄▄▅▄▄▅▅▄▅▅▅▄▄▅▅▄▅▅▅▅▅▄▄▄▄▅▅▄▄▄▅▅▄▄▄▄▄▅▅▄▅▄▆▅▅▄▄▅▅▅▅▄▄▄▅▅▅▄▄▄▅▅▅▅▄▅▄▅▄▄▄▄▅▄▄▅▄▄▄▄▅▅▅▅▅▅▅▅▅▆▄▄▄▄▂▅▇▅▅▅▅▅▄▄▄▄▄▄▄▅▅▅▅▅▅▅▅▄▅▄▅▅▅▄▅▅▅▄▅▅▅▅▅▅▄▅▄▄▄▅▅▅▄▅▅▅▅▅▁▅▅▅▄▅▄▄▅▄▅▄▅▄▅▄▅▅▄▅▄▅▅▅▄▅▄▅▅▅▄▅▁▅▄▅▅▄▄▁▅▅▄▅▄▄▅▄▄▄▄▅▅▄▄▄▄▃▂▃▂▃▃▂▃▃▄▂▃▃▂▄▃▄▄▄▄▄▄▄▅▄▅▃▅▃▅▅▄▄▄▅▅▅▄▄▅▅▄▅▄▅▄▄▄▅▄▄▅▄▅▄▄▄▄▅▄▄▄▄▄▄▄▄▄▄▄▄▅▅▅▄▅▅▅▅▄▄▄▅▅▅▅▄▄▄▄▄▄▄▄▅▅▄▅▅▄▄▅▅▅▅▄▄▁▄▄▄▅▅▅▅▄▇▆▅▅▄▄▄▅▅▅▄▄▄▅▄▅▅▄▄▅▅▄▄▄▅▅▅▅▄▄▅▄▄▄▅▄▄▄▅▄▄▄▄▄▄▄▄▅▄▄▄▄▄▄▄▅▅▅▄▅▅▅▅▅▄▅▄▅▄▅▄▅▅▅▅▅▁▅▄▅▄▄▄▅▄▄▅▅▁▅▄▄▄▅▄▅▄▅▆▅▅▄▄▄▅▄▄▄▅▅▅▅▄▅▅▄▄▅▅▄▄▅▅▄▄▄▅▅▅▄▄▄▅▅▄▄▄▄▅▅▅▄▄▄▄▅▅▄▄▄▅▅▅▄▄▁▅▅▄▅▄▅▅▅▅▅▄▅▅▅▄▅▅▅▁▅▅▄▅▅▅▅▅▅▅▁▅▄▅▄▅▄▅▄▅▄▅▄▅▄▅▅▄▅▅▅▅▅▅▄▅▅▅▅▅▄▄▄▅▄▅▄▅▄▅▄▅▄▅▄▅▄▅▄▅▄▅▄▄▅▄▅▄▄▄▄▄▅▄▅▅▅▅▅▅▁▅▄▅▄▅▄▅▅▅▄▅▄▅▄▅▄▅▄▅▄▅▄▅▄▅▄▅▄▄▄▅▄▅▄▅▅▅▄▅▄▅▄▅▄▅▅▅▄▅▄█▅▅▄▅▂▂▃▂▂▃▂▂▂▂▂▂
