AdapterInfo { name: "Apple M1 Max", vendor: 0, device: 0, device_type: IntegratedGpu, driver: "", driver_info: "", backend: Metal }
samples: 1000
test,mean,median,min,max,plot
spirograph.svg,69.02µs,83.88µs,14.75µs,1.53ms,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▂▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▂▂▁▁▁▁▂▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▃▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▃▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
lorenz.svg,89.67µs,90.92µs,20.46µs,892.54µs,▁▂▂▁▂▂▁▂▂▁▁▂▂▂▁▂▂▂▂▁▂▂▁▁▂▂▁▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▁▁▁▁▁▂▂▁▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▁▂▁▁▂▁▂▁▁▁▁▁▂▁▂▂▁▁▂▁▁▁▁▁▁▁▁▂▁▁▁▂▁▂▁▂▂▂▂▂▂▂▁▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▁▂▂▂▂▁▁▁▁▁▂▁▁▁▁▁▁▂▁▁▁▂▁▂▁▂▁▂▂▁▁▁▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▁▂▁▂▂▂▂▂▂▁▂▂▂▂▂▂▁▁▁▁▁▁▁▁▂▁▁▁▂▁▁▂▂▁▁▂▁▂▁▃▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂█▂▁▂▂▁▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▁▁▁▁▂▁▁▁▁▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▁▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▁▁▂▁▁▁▂▁▁▁▁▁▁▂▂▂▁▁▂▁▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▁▂▁▁▁▂▁▁▁▂▁▂▁▁▂▁▁▁▂▂▁▁▁▁▂▂▂▁▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▁▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▁▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▁▂▂▂▂▂▁▂▁▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▁▂▂▂▁▁▁▁▁▁▂▂▂▂▁▁▁▂▂▂▁▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▁▁▂▂▁▂▂▂▂▁▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▁▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▁▂▂▂▁▁▁▁▁▂▁▁▁▂▁▁▁▂▂
spiral.svg,78.84µs,83.96µs,17.83µs,311.96µs,▃▃▃▃▁▂▅▂▃▃▃▃▂▃▁▃▃▃▃▁▁▃▁▃▁▂▁▃▃▄▃▁▁▁▂▄▁▂▃▃▃▄▃▁▃▄▂▃▃▃▂▄▂▃▂▁▁▃▃▃▃▂▂▂▂▂▃▂▄▃▂▃▃▃▃▃▂▃▂▂▃▄▃▃▃▃▂▂▂▁▃▄▃▃▃▃▃▁▃▃▃▄▃▁▃▂▃▃▃▅▂▃▃▃▂▂▃▃▃▄▃▂▃▁▂▃▃▁▃▃▃▁▁▁▂▃▃▃▃▃▁▃▃▃▄▁▁▁▃▃▃▁▁▁▁▅▃▃▃▃▃▂▂▃▂▃▄▃▂▄▃▃▃▄▃▃▃▂▂▃▂▃█▂▄▃▃▃▃▄▃▃▆▂▃▃▄▂▂▂▃▁▃▂▃▂▃▄▃▃▃▂▃▂▃▂▃▃▂▂▃▃▃▂▃▃▃▄▂▃▃▃▃▃▂▃▂▁▂▂▃▃▃▃▃▂▃▃▃▄▄▃▃▁▃▃▂▂▃▃▃▃▄▃▃▃▃▃▄▃▂▁▃▄▃▃▃▄▃▁▂▃▃▁▃▃▃▃▃▃▃▂▃▃▃▃▃▃▃▃▃▁▃▄▃▃▂▃▂▅▃▁▃▁▃▃▃▁▃▁▃▃▃▃▁▁▃▃▃▄▄▃▂▃▃▃▃▃▃▁▃▁▃▁▁▁▃▃▃▃▃▁▁▃▃▁▃▁▃▁▃▁▃▃▃▁▃▃▂▃▂▃▃▃▂▃▃▃▃▃▂▃▃▃▄▃▂▃▄▃▁▃▃▁▃▁▁▁▃▃▃▁▁▁▁▃▃▁▁▁▂▃▃▃▁▁▃▁▃▂▁▂▂▃▁▁▃▂▃▁▃▂▂▃▃▃▃▂▅▃▂▄▂▄▃▃▃▃▃▂▃▄▂▁▁▁▂▃▃▃▃▁▁▂▃▁▃▁▁▁▃▂▁▂▁▂▃▁▂▂▁▁▁▂▃▁▃▁▃▃▃▁▂▁▂▁▁▃▃▂▂▃▂▂▃▁▁▁▁▃▁▁▂▁▁▃▁▃▁▃▁▃▃▂▂▃▂▃▃▂▃▃▃▃▃▃▂▁▂▃▃▂▁▁▃▃▁▁▃▁▃▁▃▃▃▁▁▃▁▁▃▁▃▁▁▁▂▁▃▁▃▃▂▃▃▂▂▃▁▁▃▁▃▁▁▁▁▂▃▃▁▃▂▃▂▂▁▁▂▁▃▁▁▃▃▂▃▁▂▂▃▃▃▃▁▂▁▂▃▁▃▂▁▁▃▂▂▁▃▃▃▃▃▂▁▁▄▃▃▁▁▂▃▃▂▅▂▁▃▂▃▂▃▁▁▃▃▂▃▃▁▁▃▁▂▁▄▃▃▁▁▃▃▃▂▁▃▄▂▂▃▁▁▁▁▃▃▃▄▃▁▃▃▂▂▃▂▃▁▃▂▂▃▃▃▃▃▃▃▃▃▃▃▃▂▃▄▃▃▁▁▁▃▃▃▃▃▃▃▁▁▃▃▃▂▁▄▃▃▃▁▁▃▁▃▁▃▃▃▁▁▃▃▃▁▃▃▁▂▂▃▁▂▃▃▂▄▃▃▃▂▄▃▂▂▂▃▃▁▄▂▃▃▃▄▃▃▁▃▃▁▁▃▁▃▃▁▂▃▃▃▁▁▃▃▂▃▃▃▁▃▃▁▁▃▃▃▃▃▁▆▃▃▄▁▂▃▂▁▃▃▃▄▃▃▃▃▃▃▃▁▃▂▃▃▃▄▅▃▃▂▃▃▂▃▂▃▂▃▂▃▇▂▂▃▃▂▃▁▂▃▃▁▂▆▄▁▂▅▃▂▅▁▅▃▃▃▂▃▃▃▂▂▄▃▁▃▂▃▂▃▄▂▃▃▃▃▂▃▃▃▄▂▃▃▃▃▃▂▃▂▃▂▂▃▃▂▂▄▃▂▃▂▃▃▃▃▄▂▂▃▂▃▄▂▃▃▃▃▂▁▃▂▂▃▃▁▃▃▂▃▃▁▃▆▁▂▃▃▃▃▃▃▃▃▄▃▁▁▃▃▃▃▄▁▁▃▁▃▃▂▃▃▁▃▁▂▄▅▃
blender.svg,81.99µs,90.75µs,15.71µs,303.92µs,▂▃▃▁▃▃▁▃▃▁▃▃▃▃▂▁▃▃▁▃▁▃▁▃▃▃▃▁▃▁▃▁▃▁▃▃▃▁▂▁▁▃▃▃▃▁▁▃▂▂▃▄▃▃▃▃▂▂▃▃▃▃▃▄▄▃▃▃▄▂▂▄▃▃▁▁▃▁▃▁▁▃▂▃▃▂▃▂▃▃▃▂▂▄▃▁▃▄▂▃▃▃▁▁▁▁▁▃▃▃▁▁▃▃▃▁▁▁▁▃▃▃▁▁▁▃▃▃▂▄▃▁▁▁▁▁▁▁▃▃▁▁▃▄▂▂▁▂▂▃▃▃▃▂▃▃▁▂▂▃▃▃▂▂▃▃▃▂▃▃▃▂▃▃▃▃▂▂▂▃▃▃▁▃▄▂▃▁▃▅▄▃▃▃▃▃▂▃▃▃▂▃▃▃▄▂▃▃▁▂▂▃▄▄▃▁▃▄▃▃▃▁▃▃▃▃▄▂▄▃▃▃▃▃▄▃▃▂▂▂▃▃▃▂▃▃▁▃▃▃▃▅▃▃▃▁▃▁▁▁▄▁▃▁▃▃▃▁▁▂▁▃▁▁▃▃▃▁▂▃▃▂▂▃▃▃▃▂▃▁▃▁▃▃▃▂▂▄▃▃▄▂▃▃▃▂▃▃▃▂▃▁▄▃▃▃▃▄▃▃▃▃▃▃▃▂▃▁▃▁▄▁▂▃▃▃▃▂▂▃▁▃▄▃▃▅▃▃▂▂▃▁▃▃▃▃▃▃▃▁▃▃▄▃▁▃▂▃▃▃▃▃▃▂▃▃▄▁▃▃▃▃▃▃▃▃▁▃▃▄▃▃▃▁▃▄▃▅▃▂▂▃▃▂▃▄▃▁▃▃▃▃▄▃▃▃▃▂▃▃▃▃▃▃▃▃▃▁▄▃▃▃▃▁▃▃▄▃▃▃▂▄▃▃▃▃▃▃▃▁▃▄▃▁▄▃▃▂▁▁▃▃▃▃▁▃▂▃▃▃▃▂▃▁▃▃▃▁▁▃▃▄▁▃▁▃▃▃▃▃▃▃▃▃▂▃▃▃▁▂▃▃▃▄▃▃▃▃▁▃▃▃▃▄▃▃▃▃▄▃▁▃▄▂▃▃▃▁▄▃▃▃▃▄▃▃▁▃▃▃▃▂▃▃▃▃▃▁▄▃▃▁▃▄▃▃▂▃▄▃▂▃▁▃▃▃▃▃▄▃▁▁▃▁▂▃▃▃▁▃▃▂▁▃▃▃▃▄▃▄▁▃▃▃▃▇▁▃▁▃▁▁▁▃▃▃▃▃▃▁▄▃▃▃▅▃▄▃▃▃▃▃▃▁▁▃▄▃▂▃▃▁█▃▃▃▄▂▃▁▃▄▃▃▃▃▄▃▃▃▃▁▂▃▃▁▃▂▃▅▃▁▃▃▃▃▃▃▃▁▃▃▃▃▃▃▃▃▂▁▂▃▃▁▂▂▁▁▃▂▁▂▃▃▃▃▂▂▃▃▄▁▄▃▁▃▂▄▃▃▃▄▂▃▃▃▃▂▃▃▃▄▃▁▂▃▁▅▂▃▁▃▃▃▃▁▃▄▁▃▃▄▁▁▃▁▁▃▄▃▃▃▃▁▃▂▂▃▃▃▃▂▃▃▃▅▃▃▃▃▁▄▄▃▃▁▃▃▃▃▃▁▃▃▃▃▃▃▁▃▁▃▂▃▃▁▃▃▃▃▃▄▃▃▃▃▁▃▁▃▃▁▁▃▃▃▁▄▃▃▃▃▃▃▃▃▃▃▃▂▂▃▂▃▁▃▃▂▃▂▃▃▂▃▂▁▃▃▃▃▃▃▃▃▃▄▃▃▁▄▃▃▃▁▄▃▃▄▃▃▃▂▂▃▃▃▃▃▃▁▄▃▃▃▃▃▁▃▃▁▃▁▃▃▃▁▃▃▃▃▄▁▃▃▁▁▁▁▁▁▃▃▁▃▃▁▁▃▁▁▁▃▁▃▃▁▃▂▃▃▃▄▄▃▃▃▂▂▃▃▃▃▂▃▃▃▃▃▃▂▃▁▃▄▃▃▁▃▄▃▃▃▁▁▃▄▃▃▃▄▂▃▃▁▃▁▃▃▂▃▁▃▃▂▅▃▃▃▃▃▁▁▃▃▁▃▃▁▁▃
waves.svg,167.13µs,178.00µs,16.88µs,400.46µs,▄▄▁▃▂▃▃▄▃▃▂▅▃▄▄▃▃▃▃▁▃▄▃▃▃▃▃▃▃▃▃▃▃▁▄▄▄▃▄▃▄▄▃▄▃▃▃▄▃▃▃▄▃▃▁▃▄▃▄▃▄▃▄▃▄▃▄▃▁▅▃▃▅▃▄▄▄▃▅▄▃▃▃▅▃▄▄▅▄▃▄▁▅▄▃▃▅▄▃▃▃▂▄▄▅▁▃▃▃▄▁▅▅▄▂▄▁▃▃▄▄▄▄▄▄▄▃▃▃▄▃▄▃▃▃▄▄▃▃▄▄▃▄▄▄▃▄▃▃▄▄▃▁▄▄▄▄▃▅▃▅▃▄▄▃▄▅▄▅▃▄▁▃▄▄▃▃▄▄▁▃▄▄▃▄▃▃▃▄▄▄▃▁▄▃▃▃▃▄▄▅▄▃▅▃▄▃▄▃▃▄▃▄▃▄▅▃▃▄▃▅▃▄▃▄▃▄▄▄▄▄▅▄▄▄▃▃▄▃▃▃▃▃▄▃▂▄▃▄▄▄▃▄▄▄▄▅▄▅▄▄▂▃▃▄▄▄▄▄▃▄▄▂▄▃▄▄▅▅▄▃▄▂▃▄▄▄▄▃▅▄▃▅▄▄▄▅▇▃▅▅▄▄▄▄▄▃▃▃▅▄▃▄▄▃▃▄▃▄▃▅▃▃▄▃▁▃▃▄▃▃▄▃▄▃▃▅▅▄▄▄▃▃▄▃▄▃▅▄▂▄▃▄▃▅▄▄▃▃▅▄▄▄▃▃▄▅▄▅▄▅▄▃▄▅▃▅▃▄▄▄▄▃▃▅▃▄▄▄▄▅▃▄▄▄▄▄▄▁▄▃▃▄▄▅▄▅▄▃▄▄▅▃▄▃▃▄▃▄▄▄▃▁▅▃▄▁▃▄▃▄▄▃▄▄▄▄▄▄▁▄▃▄▃▃▄▃▃▄▃▃▄▃▄▄▃▄▃▄▄▄▃▃▃▃▅▄▃▄▄▄▄▃▄▃▄▃▄▅▄▃▃▄▄▄▅▄▄▅▅▄▄▄▃▄▄▃▄▄▃▃▄▄▃▃▄▄▃▃▄▃▄▄▄▃▄▃▄▃▄▃▄▄▃▅▃▄▄▃▄▃▃▄▃▃▄▄▄▄▃▃▅▃▄▄▃▃▄▃▄▃▄▄▄▃▃▅▅▃▄▄▄▅▃▃▃▄▃▃▃▃▃▃▃▅▅▄▅▄▅▄▄▅▄▆▄▄▄▄▃▃▃▃▄▃▄▄▄▃▅▄▃▃▄▃▃▄▇▃▄▃▄▃▃▃▄▃▄▃▃▅▅▃▄▃▅▄▄▃▄▄▄▄▄▄▄▄▄▃▃▄▃▃▁▄▃▃▄▄▄▄▄▃▄▅▃▄▄▃▃▃▃▆▃▃▅▄▃▄▄▃▄▄▃▃▃▄▃▄▃▄▃▄▃▃▃▄▄▄▅▄▄▄▃▄▃▄▅▃▄▃▄▃▃▄▄▃▃▃▄▃▃▃▃▄▃▅▅▃▄▄▃▅▄▂▃▂▃▄▄▃▄▃▄▃▄▄▄▃▃▄▃▃▄▄▄▄▅▄▃▅▃▃▄▃▄▃▂▄▃▃▅▄▅▃▁▅▃▃▁▃▄▄▄▃▃▄▃▃▄▅▄▃▃▄▄▄▄▄▁▄▃▅▃▄▄▄▄▄▃▄▁▄▃▅▃▃▄▄▃▅▃▃▃▄▃▃▄▅▄▄▄▄▃▅▄▃▃▄▄▃▄▃▃▄▃▄▄▄▄▄▃▄▃▃▃▃▃▄▃▄▄▃▄▄▄▄▃▄▅▃▄▃▃▃▃▄▄▄█▄▃▃▅▅▄▄▄▄▅▄▃▄▄▄▄▅▃▄▃▃▃▅▃▄▄▄▄▃▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▃▄▅▄▄▄▄▄▄▄▅▅▄▄▃▄▄▅▅▃▃▅▄▃▄▅▃▃▄▃▁▅▄▃▃▃▃▄▃▃▂▄▄▄▄▄▃▄▄▄▄▄▄▄▃▄▄▄▅▅▅▃▄▄▄▃▃▄▅▅▅▅▄▄▃▃▅▃▃▄
roads.svg,137.63µs,146.08µs,16.46µs,413.88µs,▃▂▂▂▁▂▂▂▂▂▂▃▃▃▂▂▃▂▂▃▂▂▂▃▃▃▃▃▃▂▂▂▂▂▃▃▂▃▃▂▄▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃█▃▃▃▃▃▃▃▃▃▃▃▃▂▂▃▃▃▅▃▃▃▃▃▃▃▃▃▂▃▂▄▃▃▂▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▂▃▄▁▃▃▂▃▅▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▂▂▃▃▃▃▃▃▃▂▂▂▃▂▃▃▃▃▂▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▄▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▂▃▃▃▃▃▂▂▂▃▃▃▃▃▂▃▃▃▃▂▃▂▃▃▁▃▃▃▃▃▃▂▃▄▃▃▃▃▃▂▂▂▃▃▂▂▃▂▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▄▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▄▃▃▃▂▂▂▃▃▃▂▂▃▂▂▂▃▂▂▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▄▃▃▃▃▃▃▃▂▂▃▂▂▃▂▃▂▂▃▂▃▃▃▂▃▃▂▂▃▃▂▂▃▂▃▃▂▂▃▃▂▂▃▃▂▂▃▂▂▃▄▃▂▃▂▃▃▃▂▃▃▂▃▃▂▃▃▃▂▁▃▃▃▂▃▃▃▃▃▂▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▅▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▂▄▃▃▃▃▂▃▃▃▂▂▂▅▃▃▂▃▃▃▃▃▃▂▃▂▂▃▃▃▂▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▄▃▃▃▃▃▃▃▃▃▃▃▃▃▄▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▄▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▄▂▄▁▅▃▂▃▁▃▂▂▃▂▃▃▃▃▃▄▃▄▂▃▃▂▂▃▃▃▂▂▃▃▂▃▂▃▃▃▂▃▃▃▃▃▃▃▃▃▃▃▃▃▃▅▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▂▂▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▄▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▄▃▃▂▂▂▃▃▃
